like1,parT,chain,KGEval
1.77112840,546.05350000,0.00000000,-0.87924392
1.77112840,663.61130000,0.00000000,-0.87924392
1.77112840,185.84756000,0.00000000,-0.87924392
1.77112840,141.65948000,0.00000000,-0.87924392
1.77112840,514.94710000,0.00000000,-0.87924392
1.77112840,777.74744000,0.00000000,-0.87924392
1.77112840,482.02768000,0.00000000,-0.87924392
1.77112840,553.91680000,0.00000000,-0.87924392
1.77112840,802.48650000,0.00000000,-0.87924392
1.77112840,136.22028000,0.00000000,-0.87924392
1.77112840,941.68933000,0.00000000,-0.87924392
1.77112840,630.44360000,0.00000000,-0.87924392
1.77112840,577.16000000,1.00000000,-0.87924392
1.77112840,351.83347000,2.00000000,-0.87924392
1.77112840,514.94710000,3.00000000,-0.87924392
1.77112840,549.47520000,1.00000000,-0.87924392
1.77112840,962.73016000,2.00000000,-0.87924392
1.77112840,136.22028000,3.00000000,-0.87924392
1.77112840,178.26332000,1.00000000,-0.87924392
1.77112840,801.96980000,2.00000000,-0.87924392
1.77112840,193.43181000,3.00000000,-0.87924392
1.77112840,477.38995000,1.00000000,-0.87924392
1.77112840,254.91986000,2.00000000,-0.87924392
1.77112840,541.68430000,3.00000000,-0.87924392
1.77112840,577.16000000,1.00000000,-0.87924392
1.77112840,514.94710000,2.00000000,-0.87924392
1.77112840,577.16000000,3.00000000,-0.87924392
1.77112840,962.73016000,1.00000000,-0.87924392
1.77112840,777.74744000,2.00000000,-0.87924392
1.77112840,549.47520000,3.00000000,-0.87924392
1.77112840,178.26332000,1.00000000,-0.87924392
1.77112840,447.26068000,2.00000000,-0.87924392
1.77112840,193.43181000,3.00000000,-0.87924392
1.77112840,883.53280000,1.00000000,-0.87924392
1.77112840,429.91810000,2.00000000,-0.87924392
1.77112840,204.62357000,3.00000000,-0.87924392
1.77112840,514.94710000,1.00000000,-0.87924392
1.77112840,678.06080000,2.00000000,-0.87924392
1.77112840,577.16000000,3.00000000,-0.87924392
1.77112840,777.74744000,1.00000000,-0.87924392
1.77112840,592.76470000,2.00000000,-0.87924392
1.77112840,549.47520000,3.00000000,-0.87924392
1.77112840,963.57910000,1.00000000,-0.87924392
1.77112840,178.26332000,2.00000000,-0.87924392
1.77112840,200.11699000,3.00000000,-0.87924392
1.77112840,821.50790000,1.00000000,-0.87924392
1.77112840,927.29850000,2.00000000,-0.87924392
1.77112840,215.38307000,3.00000000,-0.87924392
