like1,parT,chain
2.3234944,538.09357,0.0
2.5332954,965.99164,0.0
0.5111339,145.05867,0.0
1.8144784,350.10425,0.0
1.9017797,372.37564,0.0
2.5373418,997.83655,0.0
1.0232421,220.926,0.0
2.5388825,1011.5529,0.0
2.5022135,819.11804,0.0
2.4995575,810.38696,0.0
2.5288823,937.7677,0.0
2.430183,645.9081,0.0
2.3194451,535.6692,1.0
0.4580835,133.5707,2.0
0.42063615,122.08272,3.0
2.103051,433.41702,1.0
0.4522785,132.0913,2.0
0.73638934,181.23341,3.0
2.4151454,622.93744,1.0
2.3533573,557.42267,2.0
0.49963528,142.78587,3.0
2.3947678,595.7468,1.0
0.5320898,149.00443,2.0
1.3120965,260.69003,3.0
0.41923997,95.161,1.0
0.40330997,108.621864,2.0
0.4070417,101.89143,3.0
1.8482296,358.4513,1.0
0.575852,156.66235,2.0
0.4033373,107.520226,3.0
0.7087346,177.24834,1.0
2.4201531,630.3542,2.0
2.414723,622.31995,3.0
0.8826925,201.73796,1.0
0.67469287,172.26192,2.0
0.40571114,113.30984,3.0
0.41939527,95.097176,1.0
0.40707973,101.85952,2.0
0.40411806,105.24069,3.0
0.41709614,120.54546,1.0
0.40643844,114.032845,2.0
1.1365404,236.24208,3.0
0.43781918,128.04785,1.0
1.9123024,375.1839,2.0
0.412015,98.571815,3.0
1.6165782,308.46866,1.0
0.48415646,139.56989,2.0
1.0460763,224.01929,3.0
0.40563768,103.21088,1.0
0.40378457,105.91637,2.0
0.40337536,107.26912,3.0
0.6533924,169.06676,1.0
0.40556216,113.14902,2.0
0.40371743,110.334625,3.0
0.4045712,111.90956,1.0
0.5895281,158.93785,2.0
0.4033065,108.57513,3.0
0.4493314,131.31287,1.0
0.41888797,95.306816,2.0
0.4047196,104.30833,3.0
