like1,parT,chain
1.3601567,957.89923,0.0
1.2670897,873.21204,0.0
1.6098509,195.37799,0.0
1.3833888,985.19104,0.0
1.8934903,159.48555,0.0
1.2989163,898.46356,0.0
1.3429652,939.10065,0.0
1.416588,1025.526,0.0
1.2515554,860.96173,0.0
0.8695661,372.32852,0.0
1.0265373,685.43365,0.0
1.3655478,964.1658,0.0
1.1886612,811.7361,1.0
0.8965609,592.0323,2.0
0.7821197,482.18042,3.0
1.2410176,852.6753,1.0
0.809917,518.19196,2.0
0.9217139,350.95032,3.0
1.1273849,764.02423,1.0
0.9995026,667.08673,2.0
0.8714062,570.14923,3.0
1.1508002,782.2583,1.0
1.0349525,691.30457,2.0
1.4521043,1072.6274,3.0
0.8019777,416.56537,1.0
0.7807742,449.3729,2.0
0.77813,465.77664,3.0
0.8762063,369.2972,1.0
0.78328884,443.7446,2.0
0.78160894,480.9683,3.0
0.82378477,531.8165,1.0
0.77986187,452.0725,2.0
0.78740674,491.94452,3.0
0.90304756,358.0402,1.0
0.77808726,464.09473,2.0
0.8089408,517.122,3.0
0.77900386,472.5315,1.0
1.0266286,685.49756,2.0
0.7789452,455.65796,3.0
0.7791428,454.76062,1.0
0.7782557,460.26865,2.0
0.77809703,463.02264,3.0
0.77889776,472.0085,1.0
0.7781322,462.04053,2.0
0.7782082,467.02454,3.0
0.7825965,483.24744,1.0
0.77815855,466.31015,2.0
0.7785512,457.84152,3.0
0.7781401,461.8793,1.0
0.77809787,462.987,2.0
0.8761009,574.24225,3.0
0.7781021,465.0236,1.0
0.78804034,436.02216,2.0
0.778087,464.0231,3.0
0.7781824,461.1728,1.0
0.7780893,463.47473,2.0
0.7780933,464.62567,3.0
1.0662183,715.9379,1.0
0.889491,585.7979,2.0
0.81230927,520.72797,3.0
