like1,parT,chain,like_val
0.22180800,586.47034000,0.00000000,0.52940220
0.24829851,1097.57010000,0.00000000,0.54074495
0.25306097,1579.46560000,0.00000000,0.54329612
0.23158330,719.77185000,0.00000000,0.53468034
0.25337464,1777.09160000,0.00000000,0.54383908
0.37444870,266.67358000,0.00000000,0.52048884
0.23620210,780.85400000,0.00000000,0.53608318
0.25327528,1710.07840000,0.00000000,0.54374637
0.45573327,226.09250000,0.00000000,0.60094372
0.24898577,1123.52890000,0.00000000,0.54089172
0.25306390,1581.32040000,0.00000000,0.54329943
0.25359830,1967.06290000,0.00000000,0.54425089
0.24082573,854.99970000,1.00000000,0.53743468
0.23171622,720.73505000,2.00000000,0.53471203
0.25141177,1248.91330000,3.00000000,0.54180446
0.23182057,721.80270000,1.00000000,0.53474900
0.25309980,1599.70540000,2.00000000,0.54333859
0.23133780,717.74110000,3.00000000,0.53461945
0.25027350,1181.08730000,1.00000000,0.54151076
0.24554889,980.97064000,2.00000000,0.53964959
0.22138353,580.73737000,3.00000000,0.52914246
0.22397228,485.06183000,1.00000000,0.52190937
0.25360036,1969.04760000,2.00000000,0.54425426
0.24101260,859.40970000,3.00000000,0.53751689
0.22592627,650.25464000,1.00000000,0.53236635
0.22036610,511.22015000,2.00000000,0.52386524
0.21997568,545.97876000,3.00000000,0.52663574
0.22601163,653.60266000,1.00000000,0.53248720
0.21998723,519.33800000,2.00000000,0.52470214
0.22027218,552.90420000,3.00000000,0.52715612
0.22496374,632.95790000,1.00000000,0.53192293
0.22043999,559.00990000,2.00000000,0.52767039
0.21981140,522.03580000,3.00000000,0.52505051
0.22115013,576.07245000,1.00000000,0.52897109
0.22571287,646.90680000,2.00000000,0.53226080
0.22110340,505.23813000,3.00000000,0.52332655
0.21994193,532.85150000,1.00000000,0.52589634
0.24633107,1014.73590000,2.00000000,0.53983467
0.23534937,768.38586000,3.00000000,0.53586472
0.21992818,532.94770000,1.00000000,0.52589832
0.24219942,880.75370000,2.00000000,0.53803754
0.21990627,519.91656000,3.00000000,0.52477456
0.21987529,533.43790000,1.00000000,0.52591673
0.25375944,2155.17970000,2.00000000,0.54457279
0.23302826,734.88160000,3.00000000,0.53529700
0.24244708,885.47140000,1.00000000,0.53817325
0.21988930,529.73596000,2.00000000,0.52578193
0.21997552,541.32007000,3.00000000,0.52633614
0.25375152,2146.02700000,1.00000000,0.54456324
0.24914038,1130.83900000,2.00000000,0.54094897
0.22964522,701.39480000,3.00000000,0.53412325
0.21990404,537.37900000,1.00000000,0.52612367
0.21988430,529.49690000,2.00000000,0.52577462
0.25361326,1984.54930000,3.00000000,0.54428264
0.22493832,632.30880000,1.00000000,0.53191116
0.22139332,581.02234000,2.00000000,0.52915081
0.22020821,555.37915000,3.00000000,0.52735117
0.22565255,644.15125000,1.00000000,0.53218008
0.22142898,582.03390000,2.00000000,0.52918575
0.22023234,550.97520000,3.00000000,0.52697652
