date,level,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,0.44,,,
1990-01-02,,,0.5,0.18,6.81,6.59
1990-01-03,,,0.45,0.19,21.94,9.77
1990-01-04,,,0.43,0.52,5.08,6.46
1990-01-05,,,0.42,0.37,0.1,5.61
1990-01-06,,,0.42,0.21,0.2,7.57
1990-01-07,,,0.42,0.09,0.0,6.7
1990-01-08,,,0.42,0.1,0.0,6.91
1990-01-09,,,0.42,0.24,0.1,7.12
1990-01-10,,,0.42,0.13,0.0,6.13
1990-01-11,,,0.43,0.25,1.54,7.01
1990-01-12,,,0.43,0.2,2.42,4.69
1990-01-13,,,0.42,0.28,0.07,5.46
1990-01-14,,,0.42,0.34,0.0,6.47
1990-01-15,,,0.43,0.34,0.0,6.44
1990-01-16,,,0.43,0.11,4.11,5.8
1990-01-17,,,0.42,0.14,0.18,5.85
1990-01-18,,,0.42,0.17,0.0,5.43
1990-01-19,,,0.42,0.54,0.0,5.02
1990-01-20,,,0.42,0.47,0.0,5.39
1990-01-21,,,0.42,0.47,0.0,4.82
1990-01-22,,,0.42,0.61,0.0,4.77
1990-01-23,,,0.42,0.93,0.0,5.49
1990-01-24,,,0.41,0.82,0.0,6.45
1990-01-25,,,0.42,1.43,0.0,9.31
1990-01-26,,,0.42,0.66,0.0,10.19
1990-01-27,,,0.42,0.33,0.04,7.61
1990-01-28,,,0.44,0.62,0.5,11.62
1990-01-29,,,0.43,0.57,6.96,5.39
1990-01-30,,,0.42,0.55,2.23,7.4
1990-01-31,,,0.42,0.38,0.0,7.65
1990-02-01,,,0.42,0.56,2.21,6.37
1990-02-02,,,0.42,0.64,0.1,6.82
1990-02-03,,,0.42,0.8,0.0,6.76
1990-02-04,,,0.42,0.82,0.0,8.08
1990-02-05,,,0.42,0.66,0.0,10.71
1990-02-06,,,0.42,0.82,0.07,10.37
1990-02-07,,,0.42,0.62,0.0,9.76
1990-02-08,,,0.42,0.79,0.0,11.8
1990-02-09,,,0.42,0.99,0.0,9.76
1990-02-10,,,0.42,1.29,0.0,9.45
1990-02-11,,,0.41,1.18,0.0,12.1
1990-02-12,,,0.41,1.4,0.0,10.36
1990-02-13,,,0.41,1.71,0.0,11.12
1990-02-14,,,0.41,1.78,0.0,9.44
1990-02-15,,,0.41,2.58,0.0,11.86
1990-02-16,,,0.41,2.41,0.0,10.0
1990-02-17,,,0.42,1.68,0.0,8.92
1990-02-18,,,0.42,1.27,0.0,8.17
1990-02-19,,,0.42,1.25,0.0,9.54
1990-02-20,,,0.42,1.56,0.0,10.4
1990-02-21,,,0.42,1.11,0.0,11.56
1990-02-22,,,0.42,1.11,0.0,11.41
1990-02-23,,,0.42,1.25,0.0,11.19
1990-02-24,,,0.42,1.1,0.0,10.22
1990-02-25,,,0.41,1.36,0.0,9.51
1990-02-26,,,0.41,1.77,0.0,10.51
1990-02-27,,,0.41,2.97,0.0,13.19
1990-02-28,,,0.41,3.13,0.0,13.91
1990-03-01,,,0.41,2.38,0.0,12.25
1990-03-02,,,0.42,2.27,0.0,14.09
1990-03-03,,,0.41,1.25,1.53,11.38
1990-03-04,,,0.41,1.52,1.29,8.41
1990-03-05,,,0.41,2.29,0.0,10.68
1990-03-06,,,0.42,1.58,0.0,9.9
1990-03-07,,,0.41,1.49,0.0,10.41
1990-03-08,,,0.44,1.63,0.3,11.77
1990-03-09,,,0.44,0.7,6.0,9.51
1990-03-10,,,0.42,1.23,0.3,12.17
1990-03-11,,,0.42,1.54,0.0,11.96
1990-03-12,,,0.41,2.06,0.0,13.19
1990-03-13,,,0.41,2.22,0.24,13.34
1990-03-14,,,0.41,2.65,0.0,13.88
1990-03-15,,,0.42,2.57,0.0,12.51
1990-03-16,,,0.41,1.75,0.0,10.64
1990-03-17,,,0.41,2.13,0.0,10.75
1990-03-18,,,0.41,2.34,0.0,12.38
1990-03-19,,,0.41,2.0,0.0,12.52
1990-03-20,,,0.41,1.81,0.0,11.93
1990-03-21,,,0.41,1.6,0.0,9.74
1990-03-22,,,0.4,3.22,0.0,10.75
1990-03-23,,,0.41,4.68,0.0,13.57
1990-03-24,,,0.42,2.35,3.72,12.87
1990-03-25,,,0.41,2.22,3.13,11.65
1990-03-26,,,0.41,2.84,0.13,10.87
1990-03-27,,,0.41,2.9,0.0,11.02
1990-03-28,,,0.41,2.2,0.0,9.19
1990-03-29,,,0.4,3.14,0.0,8.71
1990-03-30,,,0.41,3.48,0.0,10.58
1990-03-31,,,0.44,2.27,1.32,9.75
