date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,0.1,,,
1990-01-02,,,0.13,0.28,13.15,10.15
1990-01-03,,,0.1,0.37,24.17,11.06
1990-01-04,,,0.07,0.32,5.58,7.01
1990-01-05,,,0.06,0.32,0.1,9.46
1990-01-06,,,0.05,0.14,0.0,9.46
1990-01-07,,,0.05,0.23,0.0,11.08
1990-01-08,,,0.05,0.15,0.0,11.04
1990-01-09,,,0.05,0.81,0.0,10.24
1990-01-10,,,0.05,0.5,0.0,9.06
1990-01-11,,,0.05,0.32,0.0,8.43
1990-01-12,,,0.05,0.4,0.0,7.88
1990-01-13,,,0.05,0.3,0.0,8.06
1990-01-14,,,0.05,0.49,0.0,9.75
1990-01-15,,,0.05,0.52,0.0,9.32
1990-01-16,,,0.05,0.43,0.0,9.38
1990-01-17,,,0.05,0.77,0.0,9.8
1990-01-18,,,0.05,0.34,0.0,8.52
1990-01-19,,,0.05,0.2,0.0,8.08
1990-01-20,,,0.05,0.76,0.0,8.46
1990-01-21,,,0.05,0.78,0.0,8.08
1990-01-22,,,0.05,0.69,0.0,8.51
1990-01-23,,,0.05,0.62,0.0,7.75
1990-01-24,,,0.05,0.72,0.0,9.32
1990-01-25,,,0.05,0.53,0.0,11.13
1990-01-26,,,0.05,0.64,0.0,12.29
1990-01-27,,,0.1,0.67,5.8,13.1
1990-01-28,,,0.07,0.63,17.24,11.49
1990-01-29,,,0.06,0.32,0.58,7.43
1990-01-30,,,0.05,0.58,3.52,9.43
1990-01-31,,,0.05,0.54,0.1,11.18
1990-02-01,,,0.05,0.43,3.41,8.43
1990-02-02,,,0.05,0.35,0.1,9.83
1990-02-03,,,0.05,0.46,0.0,10.68
1990-02-04,,,0.05,0.74,0.0,11.14
1990-02-05,,,0.05,1.19,0.0,12.65
1990-02-06,,,0.05,0.63,0.0,12.39
1990-02-07,,,0.05,0.77,0.0,13.46
1990-02-08,,,0.04,0.63,0.0,12.32
1990-02-09,,,0.04,1.27,0.0,13.67
1990-02-10,,,0.05,1.04,0.0,13.07
1990-02-11,,,0.04,0.66,0.0,11.87
1990-02-12,,,0.04,1.01,0.0,11.1
1990-02-13,,,0.04,1.59,0.0,12.03
1990-02-14,,,0.04,0.89,0.0,10.9
1990-02-15,,,0.04,1.97,0.0,13.07
1990-02-16,,,0.04,1.83,0.0,12.18
1990-02-17,,,0.04,1.78,0.0,12.09
1990-02-18,,,0.05,0.88,0.0,11.41
1990-02-19,,,0.04,0.81,0.0,10.47
1990-02-20,,,0.04,2.19,0.0,14.51
1990-02-21,,,0.04,2.02,0.0,13.88
1990-02-22,,,0.04,2.1,0.0,13.44
1990-02-23,,,0.04,2.44,0.0,13.89
1990-02-24,,,0.04,2.48,0.0,13.2
1990-02-25,,,0.04,2.92,0.0,15.09
1990-02-26,,,0.04,1.59,0.0,12.3
1990-02-27,,,0.04,2.11,0.0,14.02
1990-02-28,,,0.04,2.35,0.0,16.01
1990-03-01,,,0.04,1.63,0.0,15.24
1990-03-02,,,0.04,1.34,0.0,12.49
1990-03-03,,,0.04,1.35,0.16,12.61
1990-03-04,,,0.04,2.45,4.12,10.8
1990-03-05,,,0.04,2.85,3.28,14.0
1990-03-06,,,0.04,2.01,0.1,12.83
1990-03-07,,,0.04,2.37,0.0,14.81
1990-03-08,,,0.04,2.04,0.0,15.5
1990-03-09,,,0.04,1.09,0.69,12.04
1990-03-10,,,0.04,3.03,0.36,16.84
1990-03-11,,,0.04,2.55,1.28,17.16
1990-03-12,,,0.04,2.17,0.12,15.39
1990-03-13,,,0.04,2.03,0.0,15.85
1990-03-14,,,0.04,1.98,0.0,15.19
1990-03-15,,,0.04,3.12,0.0,15.18
1990-03-16,,,0.04,3.62,0.0,16.01
1990-03-17,,,0.04,4.24,0.0,16.45
1990-03-18,,,0.04,3.88,0.0,16.07
1990-03-19,,,0.04,3.53,0.0,16.31
1990-03-20,,,0.04,3.41,0.0,15.9
1990-03-21,,,0.04,3.65,0.0,15.14
1990-03-22,,,0.04,5.95,0.0,17.68
1990-03-23,,,0.04,4.27,0.0,18.08
1990-03-24,,,0.04,1.81,0.0,12.89
1990-03-25,,,0.04,3.11,0.0,14.66
1990-03-26,,,0.04,4.72,0.0,16.72
1990-03-27,,,0.04,5.0,0.0,14.99
1990-03-28,,,0.04,4.8,0.0,14.59
1990-03-29,,,0.04,5.22,0.0,13.13
1990-03-30,,,0.04,5.65,0.0,15.51
1990-03-31,,,0.06,3.89,0.5,14.54
1990-04-01,,,0.1,2.74,10.08,15.28
1990-04-02,,,0.06,1.86,16.63,12.75
1990-04-03,,,0.05,2.39,0.35,11.49
1990-04-04,,,0.05,2.36,0.0,12.56
1990-04-05,,,0.07,2.52,0.77,13.81
1990-04-06,,,0.06,1.7,11.02,13.22
1990-04-07,,,0.05,2.2,0.87,11.43
1990-04-08,,,0.08,2.9,6.22,13.81
1990-04-09,,,0.06,2.28,14.22,11.47
1990-04-10,,,0.05,2.71,2.45,12.15
1990-04-11,,,0.05,3.51,0.02,11.18
1990-04-12,,,0.04,4.75,0.0,13.96
1990-04-13,,,0.04,5.11,0.0,16.8
1990-04-14,,,0.04,3.57,0.0,15.58
1990-04-15,,,0.04,4.16,0.0,15.3
1990-04-16,,,0.04,5.32,0.0,17.14
1990-04-17,,,0.04,5.19,0.0,16.65
1990-04-18,,,0.04,4.99,0.0,17.02
1990-04-19,,,0.04,6.09,0.0,16.53
1990-04-20,,,0.04,6.06,0.0,17.35
1990-04-21,,,0.04,5.04,0.0,13.15
1990-04-22,,,0.04,3.6,0.0,11.01
1990-04-23,,,0.04,3.47,1.09,11.51
1990-04-24,,,0.04,4.39,0.0,12.62
1990-04-25,,,0.05,4.56,0.89,13.98
1990-04-26,,,0.05,4.04,20.75,14.31
1990-04-27,,,0.06,5.01,0.85,16.24
1990-04-28,,,0.08,5.43,8.31,17.24
1990-04-29,,,0.08,2.45,10.01,12.7
1990-04-30,,,0.08,3.13,13.53,16.18
1990-05-01,,,0.06,2.73,12.07,14.83
1990-05-02,,,0.05,3.66,1.78,16.95
1990-05-03,,,0.05,4.18,0.15,16.76
1990-05-04,,,0.04,5.35,0.0,17.34
1990-05-05,,,0.04,5.82,0.0,17.78
1990-05-06,,,0.04,5.93,0.0,17.38
1990-05-07,,,0.04,6.38,0.0,18.27
1990-05-08,,,0.04,5.61,0.0,17.72
1990-05-09,,,0.04,5.53,0.19,19.14
1990-05-10,,,0.04,3.83,0.02,18.15
1990-05-11,,,0.04,4.37,0.16,18.74
1990-05-12,,,0.04,4.54,0.43,19.2
1990-05-13,,,0.04,3.74,0.12,16.5
1990-05-14,,,0.04,3.75,0.0,16.54
1990-05-15,,,0.04,5.33,0.0,19.76
1990-05-16,,,0.04,5.88,0.0,21.38
1990-05-17,,,0.04,4.52,0.0,19.06
1990-05-18,,,0.04,4.9,0.0,18.7
1990-05-19,,,0.04,5.58,0.0,19.76
1990-05-20,,,0.04,5.57,0.0,19.29
1990-05-21,,,0.04,5.6,0.0,18.92
1990-05-22,,,0.04,6.11,0.0,18.5
1990-05-23,,,0.04,5.35,0.0,17.7
1990-05-24,,,0.04,5.72,0.0,17.65
1990-05-25,,,0.04,6.03,0.0,18.87
1990-05-26,,,0.04,5.95,0.0,20.56
1990-05-27,,,0.04,5.39,0.0,22.07
1990-05-28,,,0.04,7.67,0.0,22.94
1990-05-29,,,0.04,8.1,0.0,21.64
1990-05-30,,,0.04,7.8,0.0,21.71
1990-05-31,,,0.04,9.54,0.0,22.36
1990-06-01,,,0.04,7.0,0.0,24.56
1990-06-02,,,0.04,8.73,0.0,25.31
1990-06-03,,,0.04,4.96,0.0,21.07
1990-06-04,,,0.04,4.8,0.0,19.77
1990-06-05,,,0.04,5.45,0.0,19.45
1990-06-06,,,0.04,6.49,0.0,20.4
1990-06-07,,,0.04,6.74,0.0,20.21
1990-06-08,,,0.04,6.98,0.0,22.29
1990-06-09,,,0.04,7.96,0.0,24.29
1990-06-10,,,0.04,7.04,0.0,21.54
1990-06-11,,,0.04,5.44,0.0,19.73
1990-06-12,,,0.04,4.61,0.0,18.57
