date,level,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,1.12,,,
1990-01-02,,,1.14,0.25,6.91,9.93
1990-01-03,,,1.17,0.09,13.49,10.17
1990-01-04,,,1.11,0.37,12.94,5.43
1990-01-05,,,1.1,0.22,0.23,7.18
1990-01-06,,,1.09,0.31,0.0,9.74
1990-01-07,,,1.09,0.26,0.0,9.82
1990-01-08,,,1.09,0.24,0.0,9.27
1990-01-09,,,1.09,0.67,0.0,9.52
1990-01-10,,,1.09,0.33,0.32,8.19
1990-01-11,,,1.09,0.22,2.23,7.31
1990-01-12,,,1.09,0.22,2.81,6.54
1990-01-13,,,1.09,0.39,0.84,7.74
1990-01-14,,,1.08,0.36,0.16,8.21
1990-01-15,,,1.08,0.51,0.0,7.83
1990-01-16,,,1.08,0.38,0.12,8.7
1990-01-17,,,1.08,0.55,1.23,9.35
1990-01-18,,,1.08,0.16,0.0,7.54
1990-01-19,,,1.07,0.53,0.0,7.7
1990-01-20,,,1.07,0.85,0.0,8.13
1990-01-21,,,1.08,0.64,0.0,8.29
1990-01-22,,,1.07,0.41,0.0,7.12
1990-01-23,,,1.07,1.06,0.0,7.08
1990-01-24,,,1.07,0.96,0.0,7.86
1990-01-25,,,1.07,0.97,0.0,10.43
1990-01-26,,,1.07,0.56,0.0,10.74
1990-01-27,,,1.1,0.58,0.37,11.1
1990-01-28,,,1.11,0.68,18.18,10.6
1990-01-29,,,1.08,0.4,4.03,6.01
1990-01-30,,,1.08,0.97,3.5,8.65
1990-01-31,,,1.08,0.54,0.08,9.99
1990-02-01,,,1.07,0.5,2.91,7.84
1990-02-02,,,1.07,0.78,0.1,8.69
1990-02-03,,,1.07,0.7,0.0,9.15
1990-02-04,,,1.07,0.84,0.0,9.78
1990-02-05,,,1.07,0.75,0.0,11.52
1990-02-06,,,1.07,0.89,0.0,11.51
1990-02-07,,,1.07,0.77,0.0,11.49
1990-02-08,,,1.07,1.02,0.0,13.18
1990-02-09,,,1.07,1.04,0.0,11.42
1990-02-10,,,1.07,1.14,0.0,11.43
1990-02-11,,,1.07,0.96,0.0,10.83
1990-02-12,,,1.06,1.07,0.0,9.39
1990-02-13,,,1.07,1.62,0.0,10.51
1990-02-14,,,1.06,1.16,0.0,10.49
1990-02-15,,,1.06,2.14,0.0,12.12
1990-02-16,,,1.07,1.78,0.0,11.47
1990-02-17,,,1.07,1.48,0.0,11.41
1990-02-18,,,1.07,1.08,0.0,9.93
1990-02-19,,,1.06,0.92,0.0,9.85
1990-02-20,,,1.06,2.03,0.0,12.79
1990-02-21,,,1.06,1.48,0.0,12.55
1990-02-22,,,1.06,1.58,0.0,12.76
1990-02-23,,,1.06,1.87,0.0,12.6
1990-02-24,,,1.06,1.76,0.0,13.19
1990-02-25,,,1.06,1.69,0.0,12.4
1990-02-26,,,1.06,1.67,0.0,11.33
1990-02-27,,,1.06,2.39,0.0,12.24
1990-02-28,,,1.07,2.26,0.0,13.83
1990-03-01,,,1.07,1.5,0.0,13.21
1990-03-02,,,1.07,1.4,0.0,11.51
1990-03-03,,,1.06,1.37,1.01,11.87
1990-03-04,,,1.06,1.91,3.35,9.97
1990-03-05,,,1.06,2.71,1.08,11.99
1990-03-06,,,1.06,1.82,0.05,11.05
1990-03-07,,,1.06,2.02,0.86,12.38
1990-03-08,,,1.07,1.7,0.03,12.86
1990-03-09,,,1.08,1.04,1.96,11.02
1990-03-10,,,1.06,1.45,1.4,12.1
1990-03-11,,,1.06,2.13,0.11,12.84
1990-03-12,,,1.06,1.84,0.0,12.75
1990-03-13,,,1.06,1.84,0.28,13.33
1990-03-14,,,1.06,2.04,0.0,12.96
1990-03-15,,,1.06,2.91,0.0,13.98
1990-03-16,,,1.05,2.26,0.0,13.43
1990-03-17,,,1.06,3.42,0.0,14.13
1990-03-18,,,1.06,3.04,0.0,13.96
1990-03-19,,,1.06,2.35,0.0,13.16
1990-03-20,,,1.06,2.29,0.0,13.15
1990-03-21,,,1.05,2.59,0.0,12.93
1990-03-22,,,1.06,3.98,0.0,13.82
1990-03-23,,,1.06,3.3,0.0,13.56
1990-03-24,,,1.06,2.13,0.31,12.71
1990-03-25,,,1.05,2.21,0.08,11.64
1990-03-26,,,1.05,3.62,0.0,13.2
1990-03-27,,,1.05,3.61,0.0,12.87
1990-03-28,,,1.06,3.46,0.0,12.28
1990-03-29,,,1.05,3.41,0.0,10.89
1990-03-30,,,1.05,4.38,0.0,11.93
1990-03-31,,,1.08,3.2,2.93,11.73
1990-04-01,,,1.16,2.37,10.85,13.6
1990-04-02,,,1.09,1.84,20.19,11.24
1990-04-03,,,1.06,2.35,1.36,9.73
1990-04-04,,,1.06,2.86,0.0,10.47
1990-04-05,,,1.12,2.56,0.0,12.33
1990-04-06,,,1.08,1.7,15.38,11.86
1990-04-07,,,1.06,2.03,1.09,9.4
1990-04-08,,,1.08,3.09,6.98,12.05
1990-04-09,,,1.07,2.12,13.5,10.17
1990-04-10,,,1.06,2.83,3.86,11.2
1990-04-11,,,1.05,3.27,0.11,9.53
1990-04-12,,,1.05,5.61,0.0,10.67
1990-04-13,,,1.06,4.82,0.0,13.96
1990-04-14,,,1.05,2.98,0.0,13.39
1990-04-15,,,1.05,4.12,0.0,13.22
1990-04-16,,,1.05,5.36,0.0,14.99
1990-04-17,,,1.05,4.33,0.0,14.12
1990-04-18,,,1.05,3.87,0.0,14.35
1990-04-19,,,1.05,4.36,0.0,13.87
1990-04-20,,,1.05,4.57,0.0,13.51
1990-04-21,,,1.05,5.01,0.0,12.38
1990-04-22,,,1.05,3.61,0.0,8.95
1990-04-23,,,1.05,3.86,8.61,10.09
1990-04-24,,,1.05,4.64,0.27,11.7
1990-04-25,,,1.05,4.08,0.82,11.88
1990-04-26,,,1.05,3.76,1.68,12.21
1990-04-27,,,1.07,4.38,0.46,14.63
1990-04-28,,,1.13,4.19,13.28,14.76
1990-04-29,,,1.09,2.43,19.48,12.22
1990-04-30,,,1.07,2.54,9.97,13.48
