date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,94.41,,,
1990-01-02,,,90.46,0.1,4.42,10.09
1990-01-03,,,90.39,0.6,13.01,10.31
1990-01-04,,,88.13,0.26,4.57,8.07
1990-01-05,,,85.85,0.49,0.64,10.32
1990-01-06,,,81.83,0.33,0.14,9.78
1990-01-07,,,77.21,0.36,0.14,11.18
1990-01-08,,,72.38,0.23,0.02,10.19
1990-01-09,,,67.49,0.63,0.0,9.74
1990-01-10,,,62.76,0.54,0.0,9.39
1990-01-11,,,58.31,0.39,0.0,8.1
1990-01-12,,,54.14,0.46,0.0,7.63
1990-01-13,,,50.26,0.37,0.0,8.66
1990-01-14,,,46.65,0.55,0.0,10.04
1990-01-15,,,43.31,0.74,0.0,9.55
1990-01-16,,,40.19,0.48,0.0,8.96
1990-01-17,,,37.3,0.7,0.0,9.73
1990-01-18,,,34.62,0.34,0.0,9.55
1990-01-19,,,32.13,0.27,0.0,8.71
1990-01-20,,,29.82,0.66,0.0,8.7
1990-01-21,,,27.67,0.68,0.0,8.5
1990-01-22,,,25.68,0.55,0.0,9.27
1990-01-23,,,23.83,0.72,0.0,9.12
1990-01-24,,,22.11,0.55,0.0,10.98
1990-01-25,,,20.52,0.86,0.0,12.89
1990-01-26,,,19.06,0.65,0.06,11.86
1990-01-27,,,17.75,0.7,5.07,12.52
1990-01-28,,,17.43,0.65,10.85,10.92
1990-01-29,,,19.09,0.44,4.19,8.15
1990-01-30,,,20.96,0.81,2.91,9.38
1990-01-31,,,22.23,0.81,3.52,11.86
1990-02-01,,,23.24,0.43,3.44,8.58
1990-02-02,,,23.89,0.67,2.0,10.73
1990-02-03,,,24.12,0.95,0.07,12.08
1990-02-04,,,23.57,0.74,0.06,11.88
1990-02-05,,,22.5,1.3,0.0,12.69
1990-02-06,,,21.15,1.02,0.01,13.23
1990-02-07,,,19.74,0.94,0.02,13.69
1990-02-08,,,18.36,0.78,0.0,13.38
1990-02-09,,,17.07,1.12,0.0,13.71
1990-02-10,,,15.85,0.79,0.07,13.03
1990-02-11,,,14.71,0.64,0.09,10.73
1990-02-12,,,13.65,0.96,0.0,11.05
1990-02-13,,,12.67,1.63,0.0,11.74
1990-02-14,,,11.74,0.9,0.0,10.77
1990-02-15,,,10.89,1.73,0.0,11.38
1990-02-16,,,10.11,1.67,0.0,11.2
1990-02-17,,,9.38,1.71,0.0,10.99
1990-02-18,,,8.7,0.91,0.0,10.91
