date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,16.365,359.324,19.68,,,
1990-01-02,2.924,359.789,4.85,0.12,4.99,4.87
1990-01-03,10.879,361.251,4.87,0.07,1.05,4.11
1990-01-04,14.9,362.31,4.83,0.28,4.53,3.61
1990-01-05,14.247,362.701,4.82,0.19,1.04,3.16
1990-01-06,14.119,363.263,4.82,0.02,0.0,1.22
1990-01-07,20.685,363.763,4.82,0.12,0.24,3.53
1990-01-08,14.49,363.622,4.82,0.26,1.68,1.66
1990-01-09,13.118,363.998,4.82,0.14,0.08,1.93
1990-01-10,11.779,364.373,4.82,0.05,0.03,2.44
1990-01-11,8.95,364.781,4.82,0.05,0.48,-0.67
1990-01-12,7.505,365.534,4.82,0.16,0.0,1.38
1990-01-13,6.528,366.318,4.82,0.24,0.0,3.71
1990-01-14,6.494,367.435,4.82,0.02,0.0,1.76
1990-01-15,8.695,368.365,4.82,0.06,0.62,0.17
1990-01-16,7.585,369.122,4.82,0.05,0.0,0.3
1990-01-17,9.081,369.88,4.82,0.09,0.0,0.88
1990-01-18,9.325,370.624,4.82,0.06,0.0,-0.35
1990-01-19,6.888,371.21,4.82,0.03,0.02,-1.32
1990-01-20,5.85,371.972,4.81,0.07,0.0,-0.83
1990-01-21,6.553,372.718,4.82,0.23,0.0,-0.66
1990-01-22,2.892,373.307,4.82,0.12,0.0,-1.04
1990-01-23,8.365,374.039,4.82,0.19,0.0,-0.24
1990-01-24,6.9,374.421,4.83,0.26,0.0,2.93
1990-01-25,5.177,374.82,4.82,0.19,0.0,4.42
1990-01-26,6.946,375.378,4.81,0.29,0.01,6.91
1990-01-27,7.761,375.777,4.84,0.41,0.66,5.23
1990-01-28,8.22,376.353,4.84,0.58,2.52,6.96
1990-01-29,9.675,376.945,4.85,0.12,5.62,0.15
1990-01-30,9.937,377.682,4.83,0.74,1.18,2.62
1990-01-31,9.372,378.082,4.88,0.28,0.0,2.71
1990-02-01,2.353,378.708,4.84,0.33,6.28,2.62
1990-02-02,2.513,379.879,4.82,0.59,0.27,4.01
1990-02-03,2.509,381.235,4.82,0.26,0.0,4.33
1990-02-04,2.349,382.591,4.82,0.13,0.0,3.9
1990-02-05,2.649,383.983,4.82,0.38,0.0,5.37
1990-02-06,6.051,385.702,4.81,0.29,0.0,5.59
1990-02-07,7.881,387.035,4.82,0.7,0.0,7.3
1990-02-08,14.883,387.965,4.82,0.36,0.0,5.19
1990-02-09,6.764,388.406,4.82,0.37,0.0,7.69
1990-02-10,8.514,389.369,4.82,0.36,0.0,7.54
1990-02-11,7.698,390.155,4.81,0.48,0.0,7.41
1990-02-12,8.861,390.908,4.8,1.15,0.0,6.86
1990-02-13,7.455,391.317,4.8,1.57,0.0,7.95
1990-02-14,7.061,391.941,4.81,1.18,0.0,6.25
1990-02-15,12.133,392.878,4.81,1.34,0.0,5.99
1990-02-16,9.426,393.272,4.8,1.39,0.0,5.82
1990-02-17,13.835,393.651,4.81,1.18,0.0,5.97
1990-02-18,11.019,393.865,4.81,0.83,0.0,7.82
1990-02-19,9.092,394.26,4.82,1.07,0.0,8.76
1990-02-20,11.674,394.639,4.81,0.71,0.0,6.11
1990-02-21,12.448,394.854,4.81,0.81,0.0,8.34
1990-02-22,10.435,395.25,4.8,0.77,0.0,8.32
1990-02-23,11.931,395.63,4.8,1.24,0.0,8.08
