date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,0.231,25.78,1.63,,,
1990-01-02,0.231,25.9,1.6,0.11,6.19,5.91
1990-01-03,0.231,25.944,1.6,0.06,0.29,4.99
1990-01-04,0.231,26.008,1.6,0.47,2.96,4.86
1990-01-05,0.294,26.067,1.6,0.2,0.81,3.56
1990-01-06,0.984,26.067,1.6,0.0,0.0,1.8
1990-01-07,0.984,26.071,1.6,0.14,0.4,3.97
1990-01-08,0.984,26.114,1.6,0.36,3.49,2.68
1990-01-09,1.015,26.148,1.6,0.21,0.1,2.46
1990-01-10,1.341,26.085,1.6,0.05,0.2,2.34
1990-01-11,1.192,26.044,1.6,0.0,0.06,-0.78
1990-01-12,1.192,26.02,1.6,0.16,0.07,2.24
1990-01-13,1.192,25.978,1.6,0.34,0.07,3.96
1990-01-14,1.192,25.935,1.6,0.0,0.0,2.03
1990-01-15,1.192,25.894,1.6,0.06,0.07,0.88
1990-01-16,1.192,25.873,1.6,0.02,0.0,0.83
1990-01-17,1.192,25.852,1.6,0.17,0.0,0.98
1990-01-18,1.192,25.83,1.6,0.03,0.0,-0.12
1990-01-19,1.192,25.809,1.6,0.06,0.2,-1.39
1990-01-20,1.192,25.788,1.6,0.04,0.0,-1.04
1990-01-21,1.192,25.767,1.6,0.08,0.0,-1.19
1990-01-22,1.192,25.746,1.6,0.18,0.0,-0.09
1990-01-23,1.192,25.725,1.6,0.23,0.0,-0.3
1990-01-24,1.192,25.704,1.59,0.34,0.0,2.96
1990-01-25,1.192,25.682,1.57,0.27,0.0,4.97
1990-01-26,1.192,25.661,1.55,0.44,0.0,7.98
1990-01-27,1.192,25.64,1.53,0.32,3.57,5.93
1990-01-28,1.192,25.619,1.52,0.61,0.38,7.95
1990-01-29,1.192,25.598,1.5,0.03,3.64,1.3
1990-01-30,1.192,25.577,1.48,0.63,0.2,3.46
1990-01-31,1.192,25.557,1.47,0.2,0.0,2.65
1990-02-01,1.192,25.536,1.45,0.41,4.41,4.18
1990-02-02,1.192,25.515,1.43,0.7,0.27,4.74
1990-02-03,1.192,25.494,1.42,0.14,0.0,4.22
1990-02-04,1.192,25.472,1.4,0.18,0.0,5.04
1990-02-05,1.133,25.435,1.38,0.42,0.0,5.86
1990-02-06,0.486,25.456,1.37,0.44,0.0,6.3
1990-02-07,0.486,25.477,1.35,0.58,0.0,7.44
1990-02-08,0.486,25.499,1.33,0.33,0.0,6.03
1990-02-09,0.486,25.541,1.32,0.48,0.0,8.78
1990-02-10,0.486,25.581,1.3,0.36,0.0,7.92
1990-02-11,0.486,25.602,1.29,0.43,0.0,8.02
1990-02-12,0.486,25.624,1.27,1.25,0.0,7.92
1990-02-13,0.486,25.667,1.26,1.64,0.1,8.57
1990-02-14,0.486,25.708,1.24,1.03,0.0,7.62
1990-02-15,0.486,25.729,1.23,1.0,0.0,7.69
1990-02-16,0.486,25.75,1.21,1.19,0.0,7.02
1990-02-17,0.486,25.771,1.2,0.82,0.0,6.98
1990-02-18,0.486,25.792,1.18,0.96,0.0,8.8
1990-02-19,0.486,25.815,1.17,1.1,0.0,8.6
1990-02-20,0.486,25.858,1.15,0.71,0.0,7.38
1990-02-21,0.486,25.9,1.14,0.7,0.03,8.06
1990-02-22,0.486,25.942,1.13,0.67,0.0,7.95
1990-02-23,0.486,25.983,1.11,1.36,0.0,8.68
1990-02-24,0.486,26.005,1.1,1.87,0.0,9.53
1990-02-25,0.486,26.028,1.09,1.83,0.0,9.52
1990-02-26,0.486,26.071,1.07,1.49,0.0,8.12
1990-02-27,0.486,26.114,1.06,1.19,0.0,9.48
1990-02-28,0.486,26.157,1.05,1.6,0.0,9.86
1990-03-01,0.486,26.201,1.03,2.2,0.0,9.87
1990-03-02,0.558,26.263,1.02,1.16,0.0,7.99
1990-03-03,1.389,26.283,1.01,1.13,0.12,0.82
1990-03-04,1.784,26.283,1.0,1.21,0.0,0.52
1990-03-05,1.961,26.283,0.98,0.82,0.0,-0.07
1990-03-06,2.248,26.283,0.97,1.83,0.0,1.52
1990-03-07,2.055,26.283,0.96,2.0,0.0,4.52
1990-03-08,2.512,26.283,0.95,2.12,0.0,8.53
1990-03-09,2.512,26.283,0.94,0.84,2.67,5.62
1990-03-10,2.512,26.283,0.93,1.24,0.1,5.86
1990-03-11,2.512,26.283,0.92,1.29,0.0,8.38
1990-03-12,2.309,26.283,0.9,1.39,0.46,11.58
1990-03-13,0.081,26.283,0.89,1.34,0.99,10.12
1990-03-14,0.13,26.283,0.88,1.76,0.77,12.07
1990-03-15,0.671,26.283,0.87,1.21,0.02,7.03
1990-03-16,0.666,26.283,0.86,2.56,0.0,8.35
1990-03-17,0.613,26.283,0.85,2.63,0.0,9.02
1990-03-18,0.613,26.283,0.84,2.14,0.0,10.29
1990-03-19,0.613,26.283,0.83,1.26,0.0,6.81
1990-03-20,0.613,26.283,0.82,2.21,0.0,8.0
1990-03-21,0.613,26.283,0.81,3.15,0.0,11.45
1990-03-22,0.613,26.283,0.8,3.03,0.0,12.69
1990-03-23,0.613,26.283,0.79,3.71,0.0,15.85
1990-03-24,0.613,26.283,0.78,1.28,2.68,10.25
1990-03-25,0.613,26.283,0.77,1.07,1.17,7.24
1990-03-26,0.613,26.283,0.76,2.16,0.02,5.46
1990-03-27,0.613,26.283,0.75,1.74,0.19,2.42
1990-03-28,0.592,26.283,0.74,2.07,0.0,2.21
1990-03-29,0.359,26.283,0.73,2.22,0.0,4.05
1990-03-30,0.359,26.283,0.72,2.2,0.0,0.97
1990-03-31,0.364,26.283,0.72,2.57,0.0,6.09
1990-04-01,0.423,26.283,0.71,1.57,0.51,7.12
1990-04-02,0.486,26.283,0.7,1.23,1.19,7.78
1990-04-03,0.486,26.283,0.69,1.79,1.6,7.94
1990-04-04,0.446,26.283,0.68,1.64,0.07,3.97
1990-04-05,0.041,26.283,0.68,1.97,1.53,8.69
1990-04-06,0.486,26.283,0.67,1.69,4.99,9.18
1990-04-07,0.486,26.283,0.66,1.66,1.93,7.86
1990-04-08,0.486,26.283,0.66,2.13,0.1,5.8
1990-04-09,0.486,26.283,0.65,1.57,0.88,4.88
1990-04-10,0.486,26.283,0.64,1.29,0.52,3.15
1990-04-11,0.486,26.283,0.63,2.43,0.03,3.8
1990-04-12,0.486,26.283,0.63,2.99,0.0,9.65
