date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,410.912,39.471,641.26,,,
1990-01-02,334.864,40.665,172.15,0.05,1.22,4.13
1990-01-03,429.962,48.825,171.47,0.53,2.16,4.64
1990-01-04,315.847,48.803,171.41,0.18,1.42,4.18
1990-01-05,420.619,47.196,171.38,0.26,0.59,5.28
1990-01-06,414.5,48.251,209.24,0.26,0.37,7.33
1990-01-07,374.679,52.904,333.0,0.27,11.81,3.7
1990-01-08,315.679,53.789,250.45,0.06,0.34,2.3
1990-01-09,485.662,56.768,211.66,0.02,0.0,1.25
1990-01-10,397.688,47.844,188.22,0.06,0.0,1.58
1990-01-11,269.204,43.742,172.86,0.03,0.0,0.07
1990-01-12,275.106,48.251,171.36,0.13,0.0,1.12
1990-01-13,418.979,52.242,171.36,0.17,0.0,1.48
1990-01-14,364.41,45.522,171.36,0.16,0.24,2.49
1990-01-15,336.952,45.636,171.36,0.05,0.32,2.38
1990-01-16,346.528,44.084,171.36,0.11,0.0,1.6
1990-01-17,324.871,43.484,171.36,0.07,0.03,1.68
1990-01-18,321.887,45.955,171.36,0.19,0.58,3.12
1990-01-19,292.129,43.736,171.36,0.11,0.07,1.58
1990-01-20,295.117,46.701,171.36,0.11,0.0,1.31
1990-01-21,323.3,50.991,171.35,0.23,0.0,0.87
1990-01-22,316.893,51.414,166.61,0.36,0.02,3.85
1990-01-23,313.946,51.742,151.13,0.3,0.3,3.94
1990-01-24,259.908,52.438,142.47,0.61,0.83,7.95
1990-01-25,279.37,52.857,140.29,0.18,0.94,10.06
1990-01-26,296.497,54.187,156.9,0.51,8.8,7.66
1990-01-27,269.195,50.908,214.38,0.38,2.06,5.52
1990-01-28,257.095,51.986,366.88,0.35,20.51,4.14
1990-01-29,364.254,52.083,366.41,0.19,1.42,3.38
1990-01-30,342.94,51.828,477.49,0.35,16.83,2.91
1990-01-31,452.695,53.56,556.99,0.58,2.79,7.68
1990-02-01,456.235,55.101,650.61,0.75,14.42,5.29
1990-02-02,453.826,58.473,601.36,0.56,10.36,6.61
1990-02-03,515.871,57.968,519.38,0.56,4.31,9.53
1990-02-04,474.405,52.637,461.6,0.23,0.52,5.25
1990-02-05,530.706,55.197,428.2,0.45,0.06,6.66
1990-02-06,527.682,55.794,411.34,0.78,3.24,8.89
1990-02-07,467.159,50.128,397.68,1.18,2.05,9.26
1990-02-08,444.333,50.298,392.41,0.81,1.86,10.69
1990-02-09,441.993,47.832,393.81,0.5,5.15,10.03
1990-02-10,460.543,47.751,369.04,0.48,0.73,10.93
1990-02-11,459.646,47.037,344.52,0.43,1.45,7.02
1990-02-12,455.44,48.895,327.83,1.3,2.34,8.55
1990-02-13,441.565,48.216,313.85,1.04,1.34,8.84
1990-02-14,465.913,47.604,298.02,0.58,0.11,7.93
1990-02-15,470.697,44.929,265.01,0.71,0.0,7.66
1990-02-16,461.605,42.98,224.65,0.52,0.08,8.7
1990-02-17,453.207,41.934,191.52,0.52,0.07,6.98
1990-02-18,392.337,46.488,173.16,0.57,0.13,7.91
1990-02-19,467.923,51.013,191.48,0.61,5.75,6.68
1990-02-20,426.385,47.132,244.53,0.73,0.23,9.95
1990-02-21,451.088,50.08,260.43,0.58,1.54,9.11
1990-02-22,453.192,49.949,244.15,0.66,0.26,9.65
1990-02-23,391.312,49.646,221.18,1.15,0.0,11.73
1990-02-24,362.45,46.464,188.84,1.31,0.0,12.17
1990-02-25,325.982,48.974,169.29,0.76,1.1,10.24
1990-02-26,246.686,58.434,160.09,1.09,0.1,9.6
1990-02-27,383.275,57.335,152.07,0.83,0.16,9.38
1990-02-28,278.371,50.057,146.36,0.81,0.15,9.49
1990-03-01,284.069,51.245,145.35,0.92,0.18,8.24
1990-03-02,360.188,51.125,145.19,0.81,0.36,5.71
1990-03-03,342.764,49.665,142.32,1.16,0.34,4.45
1990-03-04,337.056,48.007,139.07,2.76,0.0,4.2
1990-03-05,234.311,47.061,136.87,2.6,0.0,6.38
1990-03-06,282.742,49.131,135.57,1.53,0.0,6.77
1990-03-07,270.167,48.1,134.9,2.1,0.0,9.17
1990-03-08,272.419,49.581,137.2,1.25,1.03,10.72
1990-03-09,274.969,49.852,146.25,0.84,4.08,7.29
1990-03-10,248.962,45.876,149.17,1.09,0.18,9.38
1990-03-11,208.733,48.709,145.99,2.19,0.0,12.92
1990-03-12,209.54,50.986,142.15,1.56,3.95,12.28
1990-03-13,235.509,54.469,139.16,1.45,0.14,13.1
1990-03-14,203.921,54.486,137.1,1.01,0.48,8.32
1990-03-15,232.59,57.62,135.73,1.45,0.0,9.05
1990-03-16,250.627,56.607,134.78,1.71,0.0,11.44
1990-03-17,194.544,54.96,134.13,2.25,0.0,12.79
1990-03-18,178.553,56.645,133.66,2.6,0.0,12.89
1990-03-19,163.795,55.061,133.32,2.73,0.0,12.63
1990-03-20,132.725,53.09,133.07,2.44,0.0,13.66
1990-03-21,188.18,54.044,132.89,2.65,0.0,14.04
1990-03-22,165.445,54.044,132.75,2.23,0.0,13.36
1990-03-23,159.274,53.982,132.76,1.5,1.97,11.39
1990-03-24,159.446,53.374,133.37,1.2,2.35,8.06
1990-03-25,174.758,54.046,133.74,1.63,1.16,8.72
1990-03-26,159.351,52.957,133.59,2.39,0.01,6.49
1990-03-27,188.062,58.621,133.11,2.38,0.0,6.73
1990-03-28,182.466,55.071,132.55,2.31,0.0,6.19
1990-03-29,174.407,54.795,132.05,1.86,0.0,6.1
1990-03-30,184.264,54.572,131.68,2.86,0.0,7.46
1990-03-31,159.625,52.071,131.44,3.5,0.0,8.98
1990-04-01,160.003,51.239,132.23,3.03,0.3,11.22
1990-04-02,49.079,48.124,142.72,2.49,2.66,11.7
1990-04-03,145.651,49.735,215.34,0.81,2.91,6.51
1990-04-04,122.819,49.037,197.49,1.8,0.3,7.45
1990-04-05,131.131,50.093,186.61,1.28,4.12,6.57
