date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,23.528,18.0,29.36,,,
1990-01-02,20.731,18.0,3.8,0.42,15.19,9.17
1990-01-03,9.834,18.0,3.67,0.19,18.26,9.79
1990-01-04,115.421,18.0,3.33,0.38,3.06,6.43
1990-01-05,81.59,18.0,4.11,0.19,0.04,6.76
1990-01-06,22.553,18.0,5.65,0.17,0.0,8.23
1990-01-07,22.417,18.0,6.86,0.11,0.0,9.02
1990-01-08,21.544,18.0,7.79,0.03,0.0,8.68
1990-01-09,21.979,18.0,8.5,0.63,0.0,7.71
1990-01-10,21.77,18.0,9.03,0.53,0.0,7.19
1990-01-11,19.277,18.0,9.39,0.26,0.0,6.6
1990-01-12,16.453,18.0,9.62,0.36,0.0,6.44
1990-01-13,7.787,18.0,9.74,0.28,0.0,6.87
1990-01-14,0.667,18.0,9.77,0.28,0.0,8.17
1990-01-15,7.342,18.0,7.72,0.26,0.0,7.72
1990-01-16,0.0,18.0,5.19,0.39,0.0,7.63
1990-01-17,0.0,18.0,3.37,0.47,0.0,7.33
1990-01-18,0.0,18.0,2.61,0.32,0.0,6.8
1990-01-19,0.0,18.0,2.59,0.26,0.0,6.41
1990-01-20,0.0,18.0,2.58,0.54,0.0,6.7
1990-01-21,0.0,18.0,2.58,0.68,0.0,6.18
1990-01-22,0.0,18.0,2.58,0.48,0.0,6.47
1990-01-23,0.0,18.0,2.58,0.53,0.0,5.78
1990-01-24,0.0,18.0,2.58,0.5,0.0,8.55
1990-01-25,0.0,18.0,2.58,0.42,0.0,8.66
1990-01-26,0.0,18.0,2.6,0.55,0.0,10.63
1990-01-27,0.0,18.0,3.87,0.57,5.19,11.28
1990-01-28,0.0,18.0,9.92,0.68,20.54,10.85
1990-01-29,0.0,18.0,10.56,0.39,2.87,5.43
1990-01-30,0.773,18.0,11.19,0.65,3.27,8.21
1990-01-31,10.438,18.0,11.83,0.31,0.18,8.59
1990-02-01,23.196,18.0,12.34,0.37,4.92,7.11
1990-02-02,23.732,18.0,12.77,0.37,0.1,8.16
1990-02-03,23.805,18.0,13.07,0.34,0.01,8.6
1990-02-04,24.028,18.0,13.24,0.65,0.0,9.37
1990-02-05,24.028,18.0,13.3,0.92,0.0,11.1
1990-02-06,22.026,18.0,11.89,0.58,0.02,11.03
1990-02-07,0.0,18.0,8.42,0.71,0.01,11.56
1990-02-08,0.0,18.0,6.05,0.58,0.0,11.82
1990-02-09,0.0,18.0,4.03,0.97,0.0,13.07
1990-02-10,0.0,18.0,2.7,0.72,0.0,12.05
1990-02-11,0.0,18.0,2.58,0.66,0.0,10.71
1990-02-12,0.0,18.0,2.56,0.91,0.0,9.85
1990-02-13,0.0,18.0,2.57,1.39,0.0,10.61
1990-02-14,0.0,18.0,2.56,1.04,0.0,9.34
1990-02-15,0.0,18.0,2.55,1.52,0.0,11.04
1990-02-16,0.0,18.0,2.55,1.59,0.0,10.43
1990-02-17,0.0,18.0,2.56,1.4,0.0,10.71
1990-02-18,0.0,18.0,2.57,0.94,0.0,10.31
1990-02-19,0.0,18.0,2.54,0.73,0.0,9.05
1990-02-20,0.0,18.0,2.55,2.13,0.0,13.75
