date,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,0.56,,,
1990-01-02,,0.02,0.29,2.83,1.45
1990-01-03,,0.01,0.01,0.63,2.17
1990-01-04,,0.06,0.28,5.74,1.59
1990-01-05,,0.02,0.12,0.25,-0.68
1990-01-06,,0.01,0.1,0.0,1.37
1990-01-07,,0.01,0.08,1.25,-0.1
1990-01-08,,0.02,0.14,1.36,2.79
1990-01-09,,0.01,0.05,0.05,0.5
1990-01-10,,0.0,0.11,0.0,2.06
1990-01-11,,0.0,0.0,0.0,-0.72
1990-01-12,,0.0,0.02,0.0,-1.24
1990-01-13,,0.0,0.02,0.0,-0.74
1990-01-14,,0.0,0.03,0.0,1.3
1990-01-15,,0.0,0.25,0.22,2.14
1990-01-16,,0.0,0.0,0.32,0.43
1990-01-17,,0.0,0.02,0.0,0.03
1990-01-18,,0.01,0.03,2.7,-0.27
1990-01-19,,0.01,0.0,0.1,-0.66
1990-01-20,,0.0,0.2,0.0,-1.21
1990-01-21,,0.0,0.21,0.0,-0.45
1990-01-22,,0.0,0.52,0.0,1.12
1990-01-23,,0.0,0.37,0.0,0.3
1990-01-24,,0.0,0.36,0.0,3.65
1990-01-25,,0.08,0.01,0.0,3.99
1990-01-26,,0.27,0.51,0.6,7.25
1990-01-27,,0.12,0.19,0.27,3.48
1990-01-28,,0.04,0.17,3.32,3.86
1990-01-29,,0.01,0.24,0.25,-0.95
1990-01-30,,0.01,0.57,1.12,2.47
1990-01-31,,0.0,0.25,0.05,3.24
1990-02-01,,0.0,0.15,0.7,2.49
1990-02-02,,0.0,0.35,0.6,2.3
1990-02-03,,0.0,0.2,0.3,3.85
1990-02-04,,0.0,0.17,0.0,3.44
1990-02-05,,0.0,0.45,0.0,4.54
1990-02-06,,0.0,0.32,0.0,4.86
1990-02-07,,0.0,0.21,1.1,3.69
1990-02-08,,0.0,0.26,0.1,5.05
1990-02-09,,0.0,0.34,0.32,8.47
1990-02-10,,0.0,0.3,0.0,7.33
1990-02-11,,0.0,0.34,0.45,6.04
1990-02-12,,0.0,1.32,0.51,5.0
1990-02-13,,0.0,1.92,0.47,7.8
1990-02-14,,0.0,0.78,0.0,6.65
1990-02-15,,0.0,1.03,0.0,6.02
1990-02-16,,0.0,0.57,0.0,6.01
1990-02-17,,0.0,0.99,0.0,6.35
1990-02-18,,0.0,0.64,0.0,4.68
1990-02-19,,0.0,0.6,0.0,7.64
1990-02-20,,0.0,0.44,0.0,5.14
1990-02-21,,0.0,0.59,2.41,7.19
1990-02-22,,0.0,0.58,0.35,6.81
1990-02-23,,0.0,0.68,0.0,6.42
1990-02-24,,0.0,1.8,0.0,7.52
1990-02-25,,0.0,1.27,0.0,8.8
1990-02-26,,0.0,1.31,0.0,7.2
1990-02-27,,0.0,0.8,0.0,6.64
1990-02-28,,0.0,0.85,0.0,8.05
1990-03-01,,0.0,1.56,0.0,7.95
1990-03-02,,0.0,0.87,0.06,5.58
1990-03-03,,0.0,0.74,0.05,-1.09
1990-03-04,,0.0,1.86,0.0,-1.83
1990-03-05,,0.0,1.57,0.0,-0.55
1990-03-06,,0.0,1.77,0.0,-0.32
1990-03-07,,0.0,2.23,0.0,2.62
1990-03-08,,0.0,2.68,0.0,8.08
1990-03-09,,0.0,1.04,0.0,5.47
1990-03-10,,0.0,0.84,0.0,3.59
1990-03-11,,0.0,2.41,0.0,8.62
1990-03-12,,0.0,1.19,1.52,7.95
1990-03-13,,0.0,1.54,2.44,11.17
1990-03-14,,0.0,1.4,0.1,9.99
1990-03-15,,0.0,1.17,0.0,5.95
1990-03-16,,0.0,2.77,0.0,7.5
1990-03-17,,0.0,3.67,0.0,8.34
1990-03-18,,0.0,2.78,0.0,8.53
1990-03-19,,0.0,1.76,0.0,6.99
1990-03-20,,0.0,2.41,0.0,7.63
1990-03-21,,0.0,2.93,0.0,10.29
1990-03-22,,0.0,3.84,0.0,11.52
1990-03-23,,0.0,3.06,0.3,13.81
1990-03-24,,0.0,1.28,7.45,8.84
1990-03-25,,0.0,1.05,0.4,5.49
1990-03-26,,0.0,1.65,0.07,3.63
1990-03-27,,0.0,1.65,0.0,1.42
1990-03-28,,0.0,2.01,0.0,2.66
1990-03-29,,0.0,1.95,0.05,3.2
1990-03-30,,0.0,1.44,0.06,0.49
1990-03-31,,0.0,2.76,0.0,4.64
1990-04-01,,0.01,2.39,0.36,6.2
1990-04-02,,0.03,0.96,5.45,4.62
1990-04-03,,0.02,1.19,0.67,4.9
1990-04-04,,0.01,1.53,0.0,2.89
1990-04-05,,0.01,1.43,1.59,4.42
1990-04-06,,0.02,1.31,5.16,6.37
1990-04-07,,0.02,1.4,3.59,5.92
1990-04-08,,0.02,1.81,0.11,3.76
1990-04-09,,0.11,1.6,6.53,4.88
1990-04-10,,0.05,1.57,0.33,2.83
1990-04-11,,0.02,3.23,0.39,4.83
1990-04-12,,0.01,2.41,0.0,7.98
1990-04-13,,0.01,1.92,0.0,6.68
1990-04-14,,0.01,1.63,1.24,5.43
1990-04-15,,0.01,2.97,0.1,7.69
1990-04-16,,0.0,1.8,0.37,4.77
1990-04-17,,0.0,2.3,0.17,5.93
1990-04-18,,0.01,1.88,0.36,4.74
1990-04-19,,0.01,2.24,1.31,5.02
1990-04-20,,0.01,2.07,1.18,5.56
1990-04-21,,0.01,1.65,1.95,1.99
1990-04-22,,0.03,1.8,0.25,1.95
1990-04-23,,0.07,2.18,1.68,4.54
1990-04-24,,0.03,1.55,0.81,4.06
1990-04-25,,0.01,1.96,0.4,4.65
1990-04-26,,0.01,2.38,0.04,5.27
1990-04-27,,0.01,2.61,0.0,5.89
1990-04-28,,0.01,4.26,0.0,9.04
1990-04-29,,0.0,3.93,0.0,10.55
1990-04-30,,0.0,4.06,0.0,11.76
1990-05-01,,0.01,3.4,0.0,9.76
1990-05-02,,0.01,3.37,0.0,9.26
1990-05-03,,0.01,4.73,0.0,8.84
1990-05-04,,0.01,5.18,0.0,11.15
1990-05-05,,0.01,3.65,0.0,10.72
1990-05-06,,0.01,4.75,0.0,10.66
1990-05-07,,0.01,5.48,0.0,11.99
1990-05-08,,0.01,3.68,0.01,12.74
1990-05-09,,0.02,2.98,7.63,12.03
1990-05-10,,0.02,3.12,22.45,12.19
1990-05-11,,0.01,3.21,0.9,11.04
1990-05-12,,0.02,3.98,0.0,13.09
1990-05-13,,0.02,2.72,3.7,11.74
1990-05-14,,0.02,2.93,0.6,10.32
1990-05-15,,0.01,3.97,0.0,12.89
1990-05-16,,0.02,5.59,0.0,14.42
1990-05-17,,0.03,4.61,5.51,16.73
1990-05-18,,0.16,3.46,12.66,14.38
1990-05-19,,0.08,3.56,1.94,13.68
1990-05-20,,0.03,3.55,1.25,14.87
1990-05-21,,0.02,3.9,0.1,13.74
1990-05-22,,0.04,3.34,5.24,13.5
1990-05-23,,0.05,2.89,7.33,11.62
1990-05-24,,0.07,3.0,3.31,11.29
1990-05-25,,0.03,2.99,0.1,10.09
1990-05-26,,0.02,3.81,1.1,12.99
1990-05-27,,0.02,3.76,0.0,14.13
1990-05-28,,0.01,3.49,0.0,11.3
1990-05-29,,0.01,4.96,0.0,10.75
1990-05-30,,0.01,5.11,0.0,14.05
1990-05-31,,0.01,5.09,0.0,14.28
1990-06-01,,0.01,6.75,0.0,16.13
1990-06-02,,0.02,5.12,0.0,17.38
1990-06-03,,0.02,4.89,0.0,15.8
1990-06-04,,0.02,6.35,2.37,17.54
1990-06-05,,0.02,3.95,5.41,14.95
1990-06-06,,0.02,2.35,0.22,9.55
1990-06-07,,0.02,4.32,0.0,12.63
1990-06-08,,0.02,5.52,0.0,16.37
1990-06-09,,0.02,3.49,0.0,12.26
1990-06-10,,0.02,4.62,0.0,10.75
1990-06-11,,0.13,5.83,0.01,15.39
1990-06-12,,0.38,0.99,24.01,9.5
1990-06-13,,0.17,4.56,0.59,11.58
