date,storage,inflow,outflow
2013-08-10,30331204.848,0.028,1.323
2013-08-11,30221349.882,0.028,1.299
2013-08-12,30113428.536,0.028,1.277
2013-08-13,30006874.970,0.028,1.261
2013-08-14,29900789.528,0.028,1.256
2013-08-15,29795749.090,0.028,1.244
2013-08-16,29693812.403,0.028,1.208
2013-08-17,29595264.547,0.028,1.169
2013-08-18,29498826.085,0.028,1.144
2013-08-19,29405949.528,0.028,1.103
2013-08-20,29317430.563,0.028,1.053
2013-08-21,29233023.193,0.028,1.005
2013-08-22,29152375.033,0.028,0.961
2013-08-23,29074944.294,0.028,0.924
2013-08-24,28997657.094,0.028,0.923
2013-08-25,28918850.934,0.028,0.940
2013-08-26,28838546.873,0.028,0.957
2013-08-27,28757378.023,0.028,0.967
2013-08-28,28676007.740,0.028,0.970
2013-08-29,28593932.293,0.028,0.978
2013-08-30,28510070.082,0.028,0.999
2013-08-31,28423859.824,0.028,1.026
2013-09-01,28335703.807,0.028,1.048
2013-09-02,28245773.889,0.028,1.069
2013-09-03,28153512.025,0.028,1.096
2013-09-04,28058305.378,0.028,1.130
2013-09-05,27960813.994,0.028,1.156
2013-09-06,27860346.598,0.028,1.191
2013-09-07,27755799.800,0.028,1.238
2013-09-08,27646956.788,0.028,1.288
2013-09-09,27533903.491,0.028,1.336
2013-09-10,27419509.629,0.028,1.352
2013-09-11,27303278.966,0.028,1.373
2013-09-12,27184456.441,0.028,1.403
2013-09-13,27063709.924,0.028,1.426
2013-09-14,26942203.469,0.028,1.434
2013-09-15,26820026.362,0.028,1.442
2013-09-16,26697196.272,0.028,1.450
2013-09-17,26574467.862,0.028,1.448
2013-09-18,26451897.329,0.028,1.447
2013-09-19,26328431.771,0.028,1.457
2013-09-20,26204440.631,0.028,1.463
2013-09-21,26082883.657,0.028,1.435
2013-09-22,25965954.650,0.028,1.381
2013-09-23,25853575.091,0.028,1.329
2013-09-24,25745817.892,0.028,1.275
2013-09-25,25641020.912,0.028,1.241
2013-09-26,25536774.734,0.028,1.235
2013-09-27,25433129.609,0.028,1.228
2013-09-28,25330174.913,0.028,1.220
2013-09-29,25226460.019,0.028,1.228
2013-09-30,25122298.315,0.028,1.234
2013-10-01,25022512.943,0.057,1.212
2013-10-02,24923133.746,0.028,1.178
2013-10-03,24828354.397,0.057,1.154
2013-10-04,24733717.137,0.028,1.123
2013-10-05,24643393.441,0.028,1.073
2013-10-06,24557395.740,0.028,1.023
2013-10-07,24474455.192,0.028,0.988
2013-10-08,24391626.896,0.028,0.987
2013-10-09,24309872.672,0.028,0.974
2013-10-10,24231971.056,0.028,0.930
2013-10-11,24157448.215,0.028,0.891
2013-10-12,24087100.149,0.057,0.871
2013-10-13,24014513.006,0.028,0.868
2013-10-14,23995075.111,0.623,0.848
2013-10-15,24284398.883,4.191,0.842
2013-10-16,24640765.898,4.984,0.859
2013-10-17,24761483.022,2.265,0.868
2013-10-18,24770691.631,0.963,0.856
2013-10-19,24764873.373,0.793,0.860
2013-10-20,24708059.707,0.227,0.885
2013-10-21,24726549.616,1.133,0.919
2013-10-22,24714349.561,0.821,0.962
2013-10-23,24699013.517,0.821,0.999
2013-10-24,24635915.701,0.283,1.013
2013-10-25,24567558.713,0.255,1.046
2013-10-26,24659800.477,2.180,1.112
2013-10-27,24913455.563,4.106,1.170
2013-10-28,25111140.602,3.511,1.223
2013-10-29,25210639.158,2.435,1.283
2013-10-30,25300329.021,2.379,1.341
2013-10-31,25576814.356,4.587,1.387
2013-11-01,25760888.636,3.568,1.438
2013-11-02,25840207.749,2.407,1.489
2013-11-03,25847395.472,1.614,1.531
2013-11-04,25848684.359,1.557,1.542
2013-11-05,25986986.845,3.143,1.542
2013-11-06,29073843.757,37.293,1.565
2013-11-07,30415623.957,17.358,1.828
2013-11-08,30980433.501,8.552,2.015
2013-11-09,31254477.483,5.324,2.152
2013-11-10,31367352.316,3.568,2.262
2013-11-11,31382684.846,2.549,2.372
2013-11-12,31345058.372,2.010,2.445
2013-11-13,31224019.587,1.104,2.505
2013-11-14,31071244.385,0.793,2.561
2013-11-15,30968144.664,1.416,2.609
2013-11-16,30845438.984,1.218,2.638
2013-11-17,30741576.416,1.444,2.646
2013-11-18,30592563.938,0.906,2.631
2013-11-19,30404388.708,0.453,2.631
2013-11-20,30237653.902,0.708,2.638
2013-11-21,30236031.007,2.633,2.652
2013-11-22,31150924.433,13.252,2.663
2013-11-23,31963444.985,12.120,2.716
2013-11-24,32382760.740,7.617,2.764
2013-11-25,32711220.220,6.598,2.796
2013-11-26,32875357.782,4.729,2.829
2013-11-27,32934296.084,3.568,2.886
2013-11-28,32966966.569,3.341,2.963
2013-11-29,32926524.912,2.577,3.045
2013-11-30,32864752.837,2.407,3.122
2013-12-01,32800204.309,2.407,3.154
2013-12-02,32700761.049,2.010,3.161
2013-12-03,32569926.720,1.642,3.156
2013-12-04,32428280.172,1.529,3.168
2013-12-05,32544343.586,4.502,3.159
2013-12-06,33923240.572,19.114,3.155
2013-12-07,34821068.301,13.677,3.285
2013-12-08,35352360.707,9.514,3.365
2013-12-09,35721471.207,7.702,3.430
2013-12-10,35796694.735,4.389,3.518
2013-12-11,35789580.660,3.511,3.593
2013-12-12,35701188.028,2.633,3.656
2013-12-13,35782964.109,4.672,3.726
2013-12-14,36193693.313,8.608,3.854
2013-12-15,36443530.010,6.909,4.017
2013-12-16,36543745.296,5.295,4.135
2013-12-17,36502746.457,3.738,4.213
2013-12-18,36420457.030,3.313,4.265
2013-12-19,36320954.095,3.143,4.295
2013-12-20,36230104.410,3.228,4.280
2013-12-21,38762224.955,33.584,4.277
2013-12-22,40842968.362,28.685,4.602
2013-12-23,41651109.439,14.243,4.890
2013-12-24,42015896.565,9.288,5.066
2013-12-25,42162389.115,6.881,5.185
2013-12-26,42161490.819,5.239,5.249
2013-12-27,42041328.035,3.908,5.299
2013-12-28,41858653.687,3.228,5.342
2013-12-29,41633625.505,2.832,5.436
2013-12-30,41353436.805,2.322,5.565
2013-12-31,41059408.031,2.237,5.640
2014-01-01,40729435.262,1.812,5.631
2014-01-02,40393802.660,1.756,5.641
2014-01-03,40038973.644,1.501,5.608
2014-01-04,39668829.646,1.274,5.558
2014-01-05,39337875.621,1.671,5.501
2014-01-06,38976129.440,1.274,5.461
2014-01-07,38583857.244,0.878,5.418
2014-01-08,38250071.876,1.472,5.335
2014-01-09,38021265.445,2.662,5.310
2014-01-10,40634612.054,35.509,5.262
2014-01-11,43704967.855,41.116,5.579
2014-01-12,44727532.317,17.840,6.005
2014-01-13,45161413.963,11.185,6.163
2014-01-14,45269081.541,7.504,6.258
2014-01-15,45232835.684,5.890,6.310
2014-01-16,45086068.457,4.644,6.343
2014-01-17,44823725.277,3.285,6.321
2014-01-18,44525537.721,2.803,6.254
2014-01-19,44233223.402,2.803,6.186
2014-01-20,43910709.062,2.379,6.112
2014-01-21,43528173.512,1.557,5.984
2014-01-22,43164983.097,1.614,5.818
2014-01-23,42789480.357,1.274,5.620
2014-01-24,42417323.078,1.133,5.440
2014-01-25,42068871.549,1.246,5.279
2014-01-26,41731971.376,1.246,5.145
2014-01-27,41367776.548,0.850,5.065
2014-01-28,40986691.514,0.623,5.034
2014-01-29,40612143.720,0.623,4.958
2014-01-30,40264526.068,0.821,4.844
2014-01-31,39903888.926,0.623,4.797
2014-02-01,39629047.795,1.586,4.767
2014-02-02,39511527.497,3.370,4.730
2014-02-03,39438786.711,3.823,4.665
2014-02-04,39814418.770,8.920,4.572
2014-02-05,40835374.652,16.424,4.607
2014-02-06,41197310.525,8.920,4.731
2014-02-07,41315015.649,6.145,4.783
2014-02-08,41323824.039,4.927,4.825
2014-02-09,41244981.173,3.936,4.849
2014-02-10,41140432.858,3.625,4.835
2014-02-11,41008222.852,3.285,4.815
2014-02-12,40856907.382,3.087,4.838
2014-02-13,40666042.909,2.690,4.899
2014-02-14,40431962.768,2.237,4.946
2014-02-15,40167888.527,1.897,4.953
2014-02-16,39877040.615,1.501,4.867
2014-02-17,39591396.034,1.501,4.807
2014-02-18,39310975.427,1.501,4.747
2014-02-19,39016230.430,1.303,4.714
2014-02-20,38726303.106,1.359,4.715
2014-02-21,38403670.675,0.963,4.697
2014-02-22,38084208.038,0.963,4.660
2014-02-23,37754343.264,0.765,4.583
2014-02-24,37445729.336,0.934,4.506
2014-02-25,37142915.788,0.934,4.439
2014-02-26,36809360.652,0.510,4.371
2014-02-27,36466087.107,0.368,4.341
