SNCZI,ResID,DAM_NAME,YEAR,LON,LAT,LisfloodX,LisfloodY,Vc,Vf,Qmin,Qnd,Vn,Qn,CAP_MCM,CATCH_SKM
1808,3174,PUENTES VIEJAS,1940,-3.572917,40.994583,-3.575,40.99167,1.0000000000000001e-07,9.7e-07,0.96,26.42,5e-07,2.21,49.2,693.285056
1840,3264,RAMBLA DE ALGECIRAS,1995,-1.39125,37.89125,-1.39167,37.89167,1.0000000000000001e-07,9.7e-07,0.0,0.51,5e-07,0.07,50.0,37.968144
1880,3113,REQUEJADA,1940,-4.529583,42.907917,-4.50833,42.90833,1.0000000000000001e-07,9.7e-07,1.08,12.67,5e-07,2.15,76.7,221.509344
1887,3266,RETORTILLO,1970,-5.349583,37.845417,-5.34167,37.84167,1.0000000000000001e-07,9.7e-07,0.11,2.97,5e-07,0.21,73.2,300.931584
1898,178,RIAÑO,1988,-5.082083,42.937083,-5.05833,42.95833,1.0000000000000001e-07,9.7e-07,2.47,26.57,5e-07,4.72,664.0,591.0704
1902,29,RIBARROJA,1969,0.422952978,41.24622065,0.425,41.25833,1.0000000000000001e-07,9.7e-07,101.7,1487.0,5e-07,319.7,210.0,82132.803584
1904,3096,LA RIBEIRA,1961,-7.827083,43.462083,-7.825,43.45833,1.0000000000000001e-07,9.7e-07,0.83,22.08,5e-07,2.08,32.8,134.88376
1907,179,RICOBAYO,1934,-5.98375,41.52875,-5.975,41.54167,1.0000000000000001e-07,9.7e-07,11.41,356.31,5e-07,59.9,1200.0,16033.70496
1924,3176,RIOSEQUILLO,1956,-3.649583,40.984583,-3.675,40.975,1.0000000000000001e-07,9.7e-07,0.72,18.21,5e-07,1.59,48.5,400.23168
1934,3199,RIVERA DE GATA,1990,-6.632917,40.137083,-6.625,40.14167,1.0000000000000001e-07,9.7e-07,0.33,9.47,5e-07,0.64,48.9,186.438752
1951,3201,ROSARITO,1958,-5.322083,40.10875,-5.30833,40.10833,1.0000000000000001e-07,9.7e-07,0.53,24.84,5e-07,2.84,84.7,1754.614656
1961,3227,RUECAS,1996,-5.495417,39.270417,-5.49167,39.275,1.0000000000000001e-07,9.7e-07,0.13,3.5,5e-07,0.33,50.4,132.886408
1964,3296,RULES,2003,-3.49625,36.86125,-3.49167,36.85833,1.0000000000000001e-07,9.7e-07,0.27,15.37,5e-07,1.41,117.1,1081.73888
1965,5,RUMBLAR,0,-3.787173795,38.17919515,-3.80833,38.175,1.0000000000000001e-07,9.7e-07,0.2,6.0,5e-07,0.5,126.0,574.255168
1976,3142,SALAS,1971,-7.942083,41.925417,-7.94167,41.925,1.0000000000000001e-07,9.7e-07,0.28,12.62,5e-07,0.81,86.7,151.028064
1980,3100,SALIME,1956,-6.849583,43.235417,-6.84167,43.24167,1.0000000000000001e-07,9.7e-07,5.41,105.43,5e-07,12.97,265.6,1782.414592
2007,3265,SAN CLEMENTE,1990,-2.64875,37.862083,-2.64167,37.85833,1.0000000000000001e-07,9.7e-07,0.11,2.38,5e-07,0.27,120.0,157.2404
2011,143,SAN ESTEBAN,1955,-7.64875,42.414583,-7.64167,42.40833,1.0000000000000001e-07,9.7e-07,15.1,367.86,5e-07,39.52,213.0,7197.084672
2018,3191,SAN JUAN,1955,-4.312083,40.374583,-4.30833,40.375,1.0000000000000001e-07,9.7e-07,1.63,43.58,5e-07,4.75,148.3,2003.983616
2024,26,SAN LORENZO MONGAY,1930,0.822318471,41.86520872,0.84167,41.85833,1.0000000000000001e-07,9.7e-07,5.4,102.0,5e-07,13.7,10.0,7166.86592
2044,3757,SAN PONS,1957,1.604583,41.96625,1.60833,41.975,1.0000000000000001e-07,9.7e-07,0.63,5.65,5e-07,1.14,24.4,295.962944
2048,9,SAN RAFAEL DE NAVALLANA,1991,-4.615099887,37.97942443,-4.60833,37.975,1.0000000000000001e-07,9.7e-07,0.1,326.0,5e-07,8.2,156.5,1298.972288
2051,3136,SAN SEBASTIAN,1959,-6.94625,42.145417,-6.94167,42.14167,1.0000000000000001e-07,9.7e-07,0.25,4.89,5e-07,0.46,45.0,109.623128
2058,3279,EL SANCHO,1962,-6.982917,37.462083,-6.99167,37.475,1.0000000000000001e-07,9.7e-07,1.3,56.53,5e-07,3.56,54.7,302.54352
2067,22,SANTA ANA,1961,0.576311,41.891005,0.59167,41.89167,1.0000000000000001e-07,9.7e-07,3.4,50.0,5e-07,7.7,916.0,1784.313856
2075,3112,SANTA EUGENIA,1988,-9.102917,42.920417,-9.10833,42.925,1.0000000000000001e-07,9.7e-07,0.82,54.99,5e-07,4.28,13.6,462.974304
2091,176,SANTA TERESA,1960,-5.599583,40.66625,-5.60833,40.675,1.0000000000000001e-07,9.7e-07,0.3,30.69,5e-07,3.14,496.0,1871.728
2099,25,SANTOLEA,1932,-0.289188491,40.77844391,-0.325,40.775,1.0000000000000001e-07,9.7e-07,0.9,19.0,5e-07,2.2,48.0,1223.921152
2101,3260,SANTOMERA,1965,-1.09125,38.10375,-1.09167,38.09167,1.0000000000000001e-07,9.7e-07,0.0,0.78,5e-07,0.1,25.5,154.014064
2109,3756,SAU,1963,2.40875,41.970417,2.39167,41.975,1.0000000000000001e-07,9.7e-07,4.05,35.93,5e-07,6.5,168.5,1524.850048
2111,3171,SAUCELLE,1956,-6.802083,41.049583,-6.775,41.075,1.0000000000000001e-07,9.7e-07,38.97,1058.79,5e-07,181.04,181.5,72282.636288
