like1,parT,chain
1.4678626,1203.8701,0.0
1.4558083,2100.1174,0.0
1.4637746,1390.5844,0.0
1.4707272,622.4583,0.0
0.68498325,414.5945,0.0
0.6816043,413.0693,0.0
1.5156626,695.12115,0.0
1.4700342,1136.2561,0.0
1.1738455,506.50668,0.0
1.512729,765.8383,0.0
1.4869468,874.5225,0.0
1.4640875,1372.4172,0.0
1.4614464,1544.2089,1.0
0.70807624,248.49771,2.0
1.4730246,1066.3926,3.0
0.7396031,134.35025,1.0
0.8387583,448.06238,2.0
0.6782148,381.12668,3.0
1.4602126,1641.902,1.0
1.4579718,1850.8207,2.0
1.4585743,1789.4426,3.0
1.4605074,1618.1868,1.0
0.66052777,222.33405,2.0
1.4569505,1961.1322,3.0
0.7086682,364.42035,1.0
0.75764996,434.24133,2.0
0.64155,206.20528,3.0
1.4757841,1013.12427,1.0
1.4555794,2131.095,2.0
1.4640198,1376.1346,3.0
0.68808144,376.31064,1.0
1.462054,1500.8748,2.0
0.6629504,394.68997,3.0
1.3776475,567.3365,1.0
0.75062156,261.85254,2.0
1.4560158,2074.1313,3.0
1.4582582,1821.438,1.0
1.3021417,541.1321,2.0
0.69166344,373.66867,3.0
0.7397996,258.76657,1.0
0.6347648,185.90152,2.0
1.4725398,1076.834,3.0
1.4592688,1725.1329,1.0
1.4553193,2167.305,2.0
1.4253014,587.9435,3.0
1.456903,1966.7355,1.0
0.7153503,424.5243,2.0
1.4623158,1482.368,3.0
1.4594651,1707.4835,1.0
1.4557295,2110.493,2.0
0.79199237,296.18988,3.0
0.7686452,114.17338,1.0
0.69646716,243.92102,2.0
1.4595985,1695.554,3.0
0.70225257,367.568,1.0
1.4570937,1944.3652,2.0
1.3247858,548.067,3.0
0.63696784,201.43648,1.0
1.4600775,1653.2212,2.0
1.4578042,1868.2136,3.0
1.4711668,1107.6357,1.0
1.4613917,1548.296,2.0
0.7373412,135.94914,3.0
0.7904874,106.68308,1.0
0.69881874,154.05978,2.0
0.6432588,177.74814,3.0
0.687102,377.13614,1.0
1.4578849,1859.8228,2.0
1.4564233,2024.0916,3.0
0.7191567,252.36732,1.0
1.4648209,1332.6373,2.0
1.4631728,1426.654,3.0
