like1,parT,chain
0.40067282,226.82968,0.0
1.4112426,1294.6921,0.0
1.4119626,1402.88,0.0
0.92600924,379.48773,0.0
0.6597544,314.95786,0.0
0.684014,178.67792,0.0
1.4086486,1040.6921,0.0
0.8530071,359.97302,0.0
1.4141182,1965.5626,0.0
1.4121995,1443.484,0.0
1.414053,1938.1779,0.0
0.8811625,93.50775,0.0
0.8537481,360.1516,1.0
0.55657727,293.49066,2.0
0.41245905,260.16016,3.0
0.38862267,250.42798,1.0
0.631184,185.8981,2.0
0.43020326,218.16304,3.0
1.3583981,609.68506,1.0
0.9743825,394.1815,2.0
1.211054,490.9348,3.0
1.402429,809.6092,1.0
1.3412628,584.7911,2.0
0.9297859,135.15494,3.0
0.4462797,214.55295,1.0
0.3865136,232.49046,2.0
0.3789274,241.45923,3.0
1.4050844,876.1674,1.0
0.5561615,293.40134,2.0
0.41232374,260.1155,3.0
0.54468447,197.65755,1.0
0.39511344,228.90886,2.0
0.38052833,244.53452,3.0
0.43667156,267.2368,1.0
0.91243064,140.29211,2.0
0.50452536,203.76445,3.0
0.38362023,234.14445,1.0
0.4267697,264.52444,2.0
0.38673934,249.33446,3.0
0.3949863,228.9535,1.0
0.8528874,359.94415,2.0
0.38046604,236.744,3.0
0.38293308,246.81789,1.0
1.3105501,554.3289,2.0
0.9717564,393.4097,3.0
0.384682,248.07283,1.0
0.37928134,238.49084,2.0
0.41705197,221.49565,3.0
