like1,parT,chain
1.0298272,722.17395,0.0
1.193418,1989.8345,0.0
1.1937624,2114.339,0.0
1.1932179,1924.3995,0.0
0.8702216,558.68494,0.0
1.1721327,1136.7505,0.0
1.1906086,1464.0999,0.0
0.8753117,562.3489,0.0
1.1894501,1387.1478,0.0
0.19540027,270.69254,0.0
1.1212246,902.4835,0.0
0.25012958,295.683,0.0
0.76591825,496.43326,1.0
0.5245086,383.5629,2.0
0.7104385,164.11134,3.0
0.91857165,599.08325,1.0
0.6744305,447.38312,2.0
0.49126735,371.53308,3.0
0.21741454,283.66644,1.0
0.8536611,547.85095,2.0
0.8353084,537.01697,3.0
1.1420139,974.74835,1.0
0.80787826,149.94942,2.0
1.1924229,1712.5953,3.0
0.35295093,327.12772,1.0
0.26007587,298.91013,2.0
0.25611088,297.63727,3.0
0.46744645,363.2301,1.0
0.43157998,204.10277,2.0
0.22659403,243.8846,3.0
0.6620873,441.4166,1.0
0.48278517,368.5498,2.0
0.32032034,222.81621,3.0
0.41896868,206.04918,1.0
0.23033854,288.79114,2.0
0.21608853,247.42015,3.0
0.20389932,252.59396,1.0
0.19300887,261.64325,2.0
0.19263193,266.1679,3.0
0.19625445,271.55157,1.0
0.36489025,330.72897,2.0
0.19436808,259.48587,3.0
0.1945367,269.69562,1.0
0.19858694,255.72476,2.0
1.1924086,1709.5953,3.0
0.19609372,271.39737,1.0
0.19614068,257.641,2.0
0.19238745,264.51917,3.0
0.19448516,259.34274,1.0
0.1928859,261.93097,2.0
0.26683542,301.04572,3.0
0.26689118,301.06317,1.0
0.19336776,260.93845,2.0
0.19244622,263.55316,3.0
0.19276498,266.5974,1.0
1.1447479,985.6193,2.0
0.19239327,264.12033,3.0
0.19249631,263.24698,1.0
0.1929187,267.00806,2.0
0.1924281,265.1275,3.0
0.19240907,263.88306,1.0
0.19239,264.2011,2.0
0.21502306,282.6234,3.0
0.19243002,265.14413,1.0
0.19239053,264.63223,2.0
0.21495189,282.59177,3.0
0.96156704,111.73603,1.0
0.19243258,263.6576,2.0
0.19238648,264.39255,3.0
0.19243377,265.17538,1.0
0.19238663,264.36426,2.0
1.1924431,1716.888,3.0
