like1,parT,chain
1.4290234,716.07983,0.0
1.4359343,2034.8038,0.0
1.4335282,1223.6046,0.0
1.4361045,2136.5508,0.0
1.4272066,614.2404,0.0
1.4336243,1243.4224,0.0
1.4324924,1047.5809,0.0
1.3926082,193.02776,0.0
1.4333543,1189.3503,0.0
1.4360232,2086.6875,0.0
1.4303849,816.9746,0.0
1.4337174,1263.2139,0.0
1.4310406,875.93787,1.0
1.4240086,488.66196,2.0
1.4165679,340.84485,3.0
1.4167818,343.89682,1.0
1.4236836,479.0686,2.0
1.4305865,834.2095,3.0
1.397696,208.5551,1.0
1.428433,679.2104,2.0
1.4223421,443.88275,3.0
1.4196783,390.5268,1.0
1.2541355,108.42385,2.0
1.4062716,249.47533,3.0
1.4266367,587.52716,1.0
1.4016563,224.63435,2.0
1.4205608,406.08075,3.0
1.4271171,609.91736,1.0
1.4091946,268.46228,2.0
1.3050253,117.59323,3.0
1.4154267,326.21893,1.0
1.4090481,267.38702,2.0
1.36918,149.72319,3.0
1.4292328,729.9964,1.0
1.4180952,364.27197,2.0
1.3555235,134.67868,3.0
1.4129406,299.55426,1.0
1.3700848,150.7258,2.0
1.3488024,129.57483,3.0
1.420731,409.23624,1.0
1.4192623,383.52844,2.0
1.3785757,163.07417,3.0
1.3920337,191.4303,1.0
1.378563,163.05449,2.0
1.4224558,446.52545,3.0
1.3949171,199.59926,1.0
1.1874428,99.84713,2.0
1.3363957,124.785164,3.0
1.3992839,214.56454,1.0
1.1315849,93.273506,2.0
1.1581402,96.56032,3.0
1.4078665,259.10358,1.0
1.3231384,121.55126,2.0
1.1476036,95.29643,3.0
1.3610959,140.32387,1.0
1.1441679,94.862595,2.0
1.2390695,106.22791,3.0
1.3639513,143.92967,1.0
1.2347593,105.64066,2.0
1.2928231,115.21291,3.0
1.1840816,99.457085,1.0
1.1564286,96.365295,2.0
1.1438264,94.8194,3.0
1.1933836,100.54525,1.0
1.1684537,97.703926,2.0
1.1219385,92.02126,3.0
1.204306,101.86014,1.0
1.4099377,274.19278,2.0
1.3907874,188.02646,3.0
1.2365612,105.88661,1.0
1.1990262,101.223465,2.0
1.1210495,91.89717,3.0
1.1323918,93.37988,1.0
1.2718284,111.477356,2.0
1.1266118,92.63853,3.0
1.13457,93.65885,1.0
1.3615845,140.84265,2.0
1.128191,92.84006,3.0
1.3867798,177.83194,1.0
1.1445979,94.91691,2.0
1.1191524,91.6301,3.0
1.1740832,98.33977,1.0
1.1583097,96.57958,2.0
1.1299138,93.05922,3.0
1.206785,102.15871,1.0
1.1235098,92.23508,2.0
1.163772,97.19689,3.0
1.3016835,116.950935,1.0
1.125362,92.478195,2.0
1.2274376,104.71456,3.0
1.1266811,92.647385,1.0
1.1242614,92.33433,2.0
1.3559625,135.08313,3.0
1.1351312,93.728966,1.0
1.1185732,91.54809,2.0
1.1224595,92.09331,3.0
1.120505,91.8207,1.0
1.1195371,91.684395,2.0
1.1176634,91.41178,3.0
1.1213025,91.93259,1.0
1.1202251,91.78134,2.0
1.1181092,91.47885,3.0
1.1179833,91.460014,1.0
1.2835608,113.49015,2.0
1.2112372,102.693665,3.0
1.4355054,1817.4272,1.0
1.1186877,91.56434,2.0
1.1203065,91.7928,3.0
1.1181707,91.48806,1.0
1.1400963,94.342476,2.0
1.1287818,92.91527,3.0
1.1185527,91.54506,1.0
1.1182675,91.50253,2.0
1.1177005,91.417496,3.0
1.1191931,91.635826,1.0
1.1186384,91.55734,2.0
1.1722995,98.135956,3.0
1.1198081,91.722626,1.0
1.1191897,91.63536,2.0
1.1179887,91.460815,3.0
1.1178852,91.44532,1.0
1.1177732,91.42855,2.0
1.1230304,92.17191,3.0
1.1179351,91.452774,1.0
1.1178172,91.435135,2.0
1.1177583,91.426315,3.0
1.1182777,91.50405,1.0
1.1176906,91.41598,2.0
1.1178362,91.437996,3.0
1.4268647,597.9716,1.0
1.1183114,91.50908,2.0
1.1176684,91.41256,3.0
