like1,parT,chain
1.7612005,1595.6819,0.0
1.7477064,737.6119,0.0
1.6520098,378.07724,0.0
1.6712855,400.34583,0.0
1.6724515,401.81216,0.0
1.7583857,1122.151,0.0
1.7347472,585.4519,0.0
1.7615571,1715.8306,0.0
1.7605579,1427.6246,0.0
1.7570548,1027.6592,0.0
1.709898,475.53427,0.0
1.7550808,934.22876,0.0
1.7528353,853.80145,1.0
1.5802808,317.10242,2.0
1.4701607,256.1276,3.0
1.732304,568.9789,1.0
1.4087266,231.7128,2.0
1.5786923,316.0293,3.0
1.5045944,272.7757,1.0
1.0178059,143.73921,2.0
1.3338786,208.25746,3.0
1.6101124,339.48776,1.0
1.3161168,203.44122,2.0
1.7444357,683.5734,3.0
1.5740107,312.90945,1.0
1.3001539,199.3457,2.0
1.1751598,171.54245,3.0
1.4779348,259.73526,1.0
1.0391349,147.14719,2.0
1.1938357,175.2942,3.0
0.66567814,99.4125,1.0
1.0791938,153.83498,2.0
1.6685107,396.89783,3.0
0.8799136,123.93784,1.0
1.2061006,177.82532,2.0
1.0617864,150.88158,3.0
1.3163587,203.50458,1.0
0.88906604,125.14704,2.0
0.78441936,112.27977,3.0
0.61447495,94.04071,1.0
1.4793857,260.41785,2.0
0.7548661,108.98927,3.0
0.816257,115.935974,1.0
0.9236289,129.8376,2.0
0.69047606,102.034355,3.0
0.84147376,119.00017,1.0
0.94665265,133.07367,2.0
1.7022523,455.2739,3.0
0.7010548,103.16024,1.0
0.6579638,98.60047,2.0
0.63623345,96.320595,3.0
0.74289274,107.67424,1.0
0.70464516,103.543365,2.0
0.62632114,95.281624,3.0
0.76866674,110.51726,1.0
0.6098035,93.55145,2.0
1.3993783,228.49854,3.0
1.6773561,408.32355,1.0
0.85749316,121.03148,2.0
0.6422115,96.947075,3.0
0.62601244,95.24927,1.0
0.5935142,91.853645,2.0
0.60170764,92.702545,3.0
1.1357827,163.95552,1.0
0.64010763,96.7266,2.0
0.92724884,130.34106,3.0
0.65851057,98.65799,1.0
1.2142687,179.53792,2.0
0.59401256,91.90526,3.0
0.6963123,102.65493,1.0
1.4687678,255.48924,2.0
0.6663924,99.48776,3.0
