like1,parT,chain,KGEval
1.01677820,1342.68130000,0.00000000,0.03340944
0.38672844,535.15060000,0.00000000,0.72763452
0.99369320,1278.25320000,0.00000000,0.06370798
0.60209690,696.54860000,0.00000000,0.54142025
1.07642220,1964.48690000,0.00000000,-0.03893001
0.79301270,905.05540000,0.00000000,0.28042958
0.96910805,1211.09690000,0.00000000,0.09318615
1.07642220,2045.86430000,0.00000000,-0.03893001
0.75689660,859.38184000,0.00000000,0.32810259
0.52846390,634.12630000,0.00000000,0.65180560
1.07642220,1959.21690000,0.00000000,-0.03893001
0.64470820,261.78760000,0.00000000,-0.66274241
0.60289650,697.26624000,1.00000000,0.54012946
0.28048870,373.03494000,2.00000000,0.17504173
0.27585033,454.09277000,3.00000000,0.54572800
0.29408002,363.19708000,1.00000000,0.11769475
0.33231550,498.66168000,2.00000000,0.67140062
0.25804332,430.92938000,3.00000000,0.45868879
0.82937220,953.82275000,1.00000000,0.23432334
0.26312906,439.27440000,2.00000000,0.49186796
0.43606290,567.91150000,3.00000000,0.73245976
0.67796934,770.02040000,1.00000000,0.43436675
0.35770816,515.90400000,2.00000000,0.70439453
0.52123773,628.42413000,3.00000000,0.66118986
0.25746915,397.06323000,1.00000000,0.30399548
0.48322076,600.07117000,2.00000000,0.70297498
0.25331786,413.99630000,3.00000000,0.38534533
0.29492766,362.64484000,1.00000000,0.11439108
0.25566846,400.95963000,2.00000000,0.32341412
0.80205660,916.91473000,3.00000000,0.26880218
0.34021476,340.27402000,1.00000000,-0.02681566
0.25740573,397.18340000,2.00000000,0.30460034
0.25570148,425.63810000,3.00000000,0.43663742
0.33530954,500.72952000,1.00000000,0.67591065
0.26151308,436.88223000,2.00000000,0.48256129
0.25435582,404.95860000,3.00000000,0.34291471
0.25419676,405.58984000,1.00000000,0.34595198
0.33836928,502.83050000,2.00000000,0.68034591
0.25348637,409.79310000,3.00000000,0.36589527
0.55657660,656.98900000,1.00000000,0.61242160
0.37442628,527.02610000,2.00000000,0.71965265
0.25330973,412.85394000,3.00000000,0.38010789
0.81923664,939.93427000,1.00000000,0.24701692
0.25383560,418.92093000,2.00000000,0.40750427
0.25347120,409.94028000,3.00000000,0.36658464
0.58423865,680.75930000,1.00000000,0.56987320
0.42427590,560.01685000,2.00000000,0.73507605
0.25332990,412.00174000,3.00000000,0.37617692
0.25342420,415.91483000,1.00000000,0.39405890
0.25332958,414.38440000,2.00000000,0.38711633
0.25331098,413.61917000,3.00000000,0.38362033
0.29738050,472.97354000,1.00000000,0.60540859
0.25357077,409.07170000,2.00000000,0.36250754
0.26438597,441.02260000,3.00000000,0.49856311
0.25385820,419.04490000,1.00000000,0.40805329
0.25339055,415.52332000,2.00000000,0.39228914
0.31693858,487.77008000,3.00000000,0.64630641
0.58655936,682.78620000,1.00000000,0.56621974
0.25364873,417.78918000,2.00000000,0.40247215
0.25331494,413.86475000,3.00000000,0.38474407
