date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,0.04,,,
1990-01-02,,,0.03,0.41,1.1,11.29
1990-01-03,,,0.04,0.34,0.04,9.93
1990-01-04,,,0.04,0.49,4.29,9.14
1990-01-05,,,0.03,0.54,6.94,8.58
1990-01-06,,,0.03,0.12,0.31,8.08
1990-01-07,,,0.04,0.36,0.0,8.57
1990-01-08,,,0.04,0.31,14.78,9.11
1990-01-09,,,0.03,0.4,5.8,7.08
1990-01-10,,,0.04,0.32,3.04,7.85
1990-01-11,,,0.04,0.33,3.77,6.64
1990-01-12,,,0.04,0.44,6.33,8.6
1990-01-13,,,0.04,0.41,1.85,9.6
1990-01-14,,,0.03,0.49,3.38,8.39
1990-01-15,,,0.03,0.18,0.19,8.16
1990-01-16,,,0.03,0.22,0.0,7.48
1990-01-17,,,0.03,0.35,3.98,8.32
1990-01-18,,,0.03,0.16,0.17,7.33
1990-01-19,,,0.03,0.44,0.0,7.89
1990-01-20,,,0.03,0.17,0.0,6.17
1990-01-21,,,0.03,0.3,0.0,6.47
1990-01-22,,,0.03,0.61,0.0,6.47
1990-01-23,,,0.03,0.56,0.0,5.66
1990-01-24,,,0.03,0.61,0.0,7.77
1990-01-25,,,0.03,1.52,0.0,12.12
1990-01-26,,,0.03,1.27,0.0,14.08
1990-01-27,,,0.03,0.99,0.0,11.03
1990-01-28,,,0.03,0.44,0.0,10.89
1990-01-29,,,0.03,0.58,0.28,8.44
1990-01-30,,,0.03,1.2,0.0,9.15
1990-01-31,,,0.03,1.05,0.0,9.82
1990-02-01,,,0.03,0.9,2.25,10.21
1990-02-02,,,0.03,1.87,0.11,10.31
1990-02-03,,,0.03,1.65,0.0,10.52
1990-02-04,,,0.03,1.19,0.0,10.73
1990-02-05,,,0.03,0.61,0.0,11.12
1990-02-06,,,0.03,0.91,0.0,10.47
1990-02-07,,,0.03,0.67,0.0,12.19
1990-02-08,,,0.03,0.75,0.0,11.74
