date,level,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,602.28,40.168,0.4,,,
1990-01-02,602.328,40.257,0.41,0.33,0.11,1.99
1990-01-03,602.366,40.328,0.42,0.24,0.0,1.32
1990-01-04,602.397,40.385,0.42,0.59,10.8,4.48
1990-01-05,602.415,40.419,0.42,0.28,0.23,1.5
1990-01-06,602.421,40.43,0.42,0.4,0.0,0.34
1990-01-07,602.424,40.435,0.42,0.59,0.0,2.96
1990-01-08,602.425,40.437,0.42,0.42,0.64,3.42
1990-01-09,602.413,40.415,0.42,0.25,0.37,1.06
1990-01-10,602.399,40.389,0.42,0.22,0.56,-0.13
1990-01-11,602.376,40.346,0.42,0.47,0.3,1.76
1990-01-12,602.35,40.298,0.42,0.37,0.0,2.96
1990-01-13,602.318,40.239,0.41,0.25,0.07,0.19
1990-01-14,602.283,40.174,0.41,0.45,0.0,0.76
1990-01-15,602.249,40.111,0.41,0.3,0.17,1.84
1990-01-16,602.179,39.982,0.41,0.5,0.02,1.09
1990-01-17,602.098,39.833,0.41,0.89,0.0,1.26
1990-01-18,602.011,39.673,0.41,0.64,0.0,0.53
1990-01-19,601.922,39.51,0.41,0.1,0.27,-1.71
1990-01-20,601.833,39.347,0.41,0.18,0.0,-0.56
1990-01-21,601.74,39.178,0.41,0.54,0.0,-0.29
1990-01-22,601.65,39.014,0.41,1.56,0.0,2.54
1990-01-23,601.558,38.848,0.41,0.79,0.0,-1.4
1990-01-24,601.464,38.678,0.41,0.78,0.0,4.07
1990-01-25,601.367,38.503,0.41,0.1,0.03,3.21
1990-01-26,601.275,38.338,0.41,0.59,0.78,7.69
1990-01-27,601.177,38.162,0.41,0.83,0.27,4.17
1990-01-28,601.094,38.014,0.42,0.24,0.06,4.9
1990-01-29,601.043,37.923,0.42,0.51,12.46,3.28
1990-01-30,600.947,37.752,0.41,0.57,0.18,2.85
1990-01-31,600.858,37.594,0.42,0.25,0.0,3.05
1990-02-01,600.773,37.444,0.42,0.51,2.46,5.66
1990-02-02,600.671,37.264,0.41,0.03,0.05,2.09
1990-02-03,600.57,37.087,0.41,0.22,0.0,3.72
1990-02-04,600.47,36.911,0.41,0.33,0.07,5.35
1990-02-05,600.361,36.721,0.41,0.38,0.0,3.66
1990-02-06,600.276,36.573,0.41,0.75,0.0,7.85
1990-02-07,600.169,36.387,0.41,0.59,0.11,5.04
1990-02-08,600.122,36.305,0.41,0.87,0.0,7.06
1990-02-09,600.017,36.124,0.41,1.21,0.11,8.71
1990-02-10,599.916,35.95,0.41,0.39,0.0,6.05
1990-02-11,599.83,35.802,0.42,0.34,1.13,5.88
1990-02-12,599.737,35.643,0.42,0.74,2.86,5.39
1990-02-13,599.629,35.458,0.42,0.9,17.58,4.32
1990-02-14,599.52,35.273,0.41,0.99,0.58,7.07
1990-02-15,599.41,35.086,0.41,3.44,0.0,9.71
1990-02-16,599.303,34.905,0.41,1.05,0.0,6.96
1990-02-17,599.2,34.732,0.41,0.99,0.0,8.2
1990-02-18,599.068,34.51,0.41,1.56,0.03,9.01
1990-02-19,598.939,34.294,0.41,1.32,0.01,8.31
1990-02-20,598.84,34.13,0.41,1.27,0.0,9.56
1990-02-21,598.733,33.952,0.41,1.27,0.0,9.67
1990-02-22,598.611,33.75,0.41,0.59,0.0,5.74
1990-02-23,598.501,33.569,0.41,1.46,0.0,7.74
1990-02-24,598.369,33.352,0.41,1.77,0.0,9.89
1990-02-25,598.24,33.141,0.41,1.45,0.01,10.28
1990-02-26,598.116,32.939,0.41,0.74,0.0,3.79
1990-02-27,597.969,32.701,0.41,0.88,0.0,6.72
1990-02-28,597.825,32.468,0.41,2.88,0.06,10.58
1990-03-01,597.683,32.24,0.41,1.3,0.0,10.62
1990-03-02,597.546,32.021,0.42,0.84,2.04,6.71
1990-03-03,597.36,31.726,0.41,1.38,1.4,0.12
1990-03-04,597.175,31.433,0.41,1.52,0.19,-1.4
1990-03-05,597.02,31.189,0.41,0.99,0.0,-0.18
1990-03-06,596.865,30.947,0.41,2.14,0.0,2.17
1990-03-07,596.706,30.699,0.41,1.45,0.0,2.24
1990-03-08,596.558,30.47,0.42,2.91,0.0,7.8
1990-03-09,596.442,30.291,0.42,1.01,11.27,9.18
1990-03-10,596.262,30.015,0.41,0.98,0.44,5.19
1990-03-11,596.112,29.786,0.41,2.03,0.0,8.33
1990-03-12,595.955,29.548,0.41,1.45,0.0,7.66
1990-03-13,595.794,29.305,0.41,1.35,0.0,9.92
1990-03-14,595.645,29.081,0.41,1.75,15.32,9.89
1990-03-15,595.481,28.836,0.41,1.02,1.04,5.48
1990-03-16,595.322,28.6,0.41,2.12,0.02,5.57
1990-03-17,595.165,28.367,0.41,2.72,0.0,6.53
1990-03-18,595.015,28.147,0.41,2.08,0.0,6.65
1990-03-19,594.902,27.981,0.41,1.37,0.0,6.22
1990-03-20,594.732,27.734,0.41,1.23,0.0,5.62
1990-03-21,594.566,27.493,0.41,2.49,0.0,11.6
1990-03-22,594.372,27.214,0.41,2.25,0.0,10.16
1990-03-23,594.18,26.939,0.41,2.19,0.03,11.01
1990-03-24,594.016,26.706,0.41,1.74,0.01,9.38
1990-03-25,593.866,26.494,0.41,1.61,0.01,9.68
1990-03-26,593.675,26.225,0.41,2.0,2.41,3.91
1990-03-27,593.48,25.953,0.41,1.99,0.0,-0.1
1990-03-28,593.308,25.715,0.41,1.88,0.39,0.11
1990-03-29,593.123,25.46,0.41,2.09,0.01,1.35
1990-03-30,592.954,25.228,0.41,1.18,0.0,-0.24
1990-03-31,592.78,24.991,0.41,2.5,0.0,3.34
1990-04-01,592.594,24.739,0.41,1.99,0.0,4.98
1990-04-02,592.423,24.509,0.43,2.0,8.96,6.63
1990-04-03,592.416,24.5,0.42,1.1,12.36,4.47
1990-04-04,592.414,24.497,0.42,1.61,5.45,5.92
1990-04-05,592.371,24.44,0.41,1.98,0.1,5.6
1990-04-06,592.319,24.37,0.41,1.87,4.52,7.4
1990-04-07,592.308,24.356,0.41,1.67,2.96,7.3
1990-04-08,592.299,24.344,0.42,1.92,0.01,5.79
1990-04-09,592.278,24.316,0.41,2.13,0.95,6.29
1990-04-10,592.22,24.238,0.41,2.31,1.55,4.16
1990-04-11,592.156,24.153,0.41,2.15,0.08,1.9
1990-04-12,592.094,24.071,0.41,3.0,0.2,7.35
1990-04-13,591.946,23.875,0.41,2.33,0.19,8.51
1990-04-14,591.786,23.665,0.41,1.86,2.06,7.45
1990-04-15,591.618,23.446,0.41,2.73,2.67,3.88
1990-04-16,591.421,23.19,0.41,2.76,0.56,4.95
1990-04-17,591.246,22.964,0.41,2.38,0.05,6.06
1990-04-18,591.072,22.742,0.41,1.72,4.59,3.51
1990-04-19,590.895,22.516,0.41,1.98,3.73,2.84
1990-04-20,590.714,22.287,0.41,2.98,3.79,6.0
1990-04-21,590.543,22.073,0.42,2.0,8.41,2.51
1990-04-22,590.413,21.91,0.42,1.22,4.85,-0.55
1990-04-23,590.277,21.741,0.42,1.55,0.97,0.17
1990-04-24,590.177,21.617,0.41,2.57,6.53,4.31
1990-04-25,590.119,21.546,0.41,2.45,4.01,5.97
1990-04-26,590.273,21.736,0.41,1.92,0.85,4.11
1990-04-27,590.426,21.926,0.41,3.09,0.0,7.39
1990-04-28,590.562,22.096,0.41,3.81,0.0,8.63
1990-04-29,590.725,22.301,0.41,4.85,0.0,10.21
1990-04-30,592.888,25.138,0.41,4.17,0.0,10.33
1990-05-01,591.047,22.71,0.41,2.65,0.0,9.02
1990-05-02,591.171,22.868,0.41,3.83,0.0,7.71
1990-05-03,591.244,22.962,0.41,4.62,0.0,8.76
1990-05-04,591.289,23.02,0.41,4.77,0.0,8.89
1990-05-05,591.314,23.052,0.41,4.28,0.0,9.15
1990-05-06,591.308,23.044,0.41,4.13,0.0,9.31
1990-05-07,591.316,23.054,0.41,4.01,3.88,10.42
1990-05-08,591.317,23.056,0.41,3.16,1.06,10.14
1990-05-09,591.42,23.189,0.41,3.46,4.34,9.79
1990-05-10,591.526,23.326,0.41,2.99,1.91,10.32
1990-05-11,591.657,23.496,0.41,2.88,2.3,10.25
1990-05-12,591.735,23.598,0.41,3.01,0.0,10.0
1990-05-13,591.795,23.677,0.41,3.73,0.0,11.49
1990-05-14,591.839,23.735,0.41,2.41,3.53,9.34
1990-05-15,591.878,23.786,0.41,4.78,0.07,13.03
1990-05-16,591.898,23.812,0.41,4.96,0.89,13.9
1990-05-17,591.891,23.803,0.41,4.52,0.02,14.39
1990-05-18,591.875,23.782,0.41,4.91,1.11,14.17
1990-05-19,591.84,23.736,0.41,4.99,1.32,14.37
1990-05-20,591.799,23.682,0.41,4.09,0.39,14.88
1990-05-21,591.804,23.689,0.42,3.35,13.04,13.37
1990-05-22,591.917,23.837,0.43,3.51,12.11,13.22
1990-05-23,593.122,25.458,0.43,2.82,12.23,12.59
1990-05-24,594.106,26.834,0.42,2.96,2.34,14.62
1990-05-25,594.906,27.987,0.41,2.52,1.98,11.31
1990-05-26,595.75,29.239,0.41,3.76,10.62,13.69
1990-05-27,597.37,31.741,0.41,3.27,4.54,13.35
1990-05-28,598.755,33.988,0.41,3.04,0.88,10.96
1990-05-29,599.73,35.631,0.41,4.84,0.15,10.78
1990-05-30,600.351,36.703,0.41,5.14,0.0,13.61
1990-05-31,600.822,37.531,0.41,2.81,2.92,9.68
1990-06-01,601.164,38.139,0.41,4.91,0.0,12.39
1990-06-02,601.44,38.634,0.41,4.54,0.0,15.45
1990-06-03,601.662,39.036,0.41,4.15,0.0,15.59
1990-06-04,601.849,39.377,0.41,5.75,0.0,16.58
1990-06-05,602.4,40.391,0.41,2.74,9.42,13.56
1990-06-06,602.869,41.267,0.41,1.87,1.51,10.45
1990-06-07,603.214,41.92,0.41,3.25,0.48,11.66
1990-06-08,603.44,42.351,0.41,3.95,0.0,14.4
1990-06-09,603.599,42.656,0.41,2.78,0.01,12.95
1990-06-10,603.718,42.886,0.41,3.07,0.11,11.15
1990-06-11,603.799,43.042,0.42,4.44,0.24,10.42
1990-06-12,604.135,43.695,0.41,2.01,14.7,8.46
1990-06-13,604.478,44.369,0.41,3.9,5.83,11.81
1990-06-14,604.864,45.134,0.43,3.14,13.47,12.25
1990-06-15,606.935,49.391,0.42,2.04,19.63,11.11
1990-06-16,608.093,51.881,0.41,3.46,0.64,12.43
1990-06-17,608.906,53.677,0.41,3.91,0.23,12.19
1990-06-18,609.534,55.091,0.41,2.55,17.74,13.26
1990-06-19,610.008,56.175,0.42,3.97,0.0,13.67
1990-06-20,610.36,56.989,0.42,3.6,0.89,14.61
1990-06-21,610.647,57.658,0.41,3.0,13.2,12.37
1990-06-22,610.863,58.165,0.41,4.02,0.0,14.0
1990-06-23,611.028,58.554,0.41,2.56,0.0,12.26
1990-06-24,611.198,58.957,0.41,5.26,0.0,14.53
1990-06-25,611.321,59.249,0.41,4.26,0.0,16.62
1990-06-26,611.421,59.488,0.41,5.29,2.86,17.51
1990-06-27,611.494,59.662,0.41,3.97,0.18,16.19
1990-06-28,611.622,59.969,0.41,3.46,4.9,17.13
1990-06-29,611.759,60.298,0.41,4.05,0.01,16.89
1990-06-30,611.86,60.542,0.41,4.77,0.0,17.53
1990-07-01,611.943,60.743,0.41,4.08,0.05,17.54
1990-07-02,612.005,60.893,0.41,3.33,0.0,13.55
1990-07-03,612.041,60.98,0.42,4.44,5.26,15.86
1990-07-04,612.097,61.116,0.41,2.54,3.25,12.25
1990-07-05,612.124,61.182,0.42,5.61,0.25,14.91
1990-07-06,612.374,61.792,0.41,2.79,6.35,14.17
1990-07-07,612.535,62.187,0.41,4.93,0.16,13.56
1990-07-08,612.58,62.298,0.41,5.28,0.0,15.05
1990-07-09,612.6,62.347,0.41,5.96,0.0,16.82
1990-07-10,612.602,62.352,0.41,5.09,0.16,17.93
1990-07-11,612.593,62.33,0.41,5.5,0.01,17.63
