date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,62.723,317.739,1.38,,,
1990-01-02,52.369,317.791,0.49,0.17,2.7,2.41
1990-01-03,31.163,317.497,0.49,0.29,3.86,2.3
1990-01-04,8.305,317.872,0.49,0.11,1.04,-0.4
1990-01-05,8.14,318.445,0.49,0.11,0.01,1.52
1990-01-06,8.31,318.541,0.49,0.15,0.0,2.92
1990-01-07,8.363,318.719,0.49,0.21,1.66,3.57
1990-01-08,8.969,318.878,0.49,0.06,0.26,0.04
1990-01-09,9.248,318.944,0.49,0.1,0.0,0.52
1990-01-10,9.622,319.776,0.49,0.13,0.0,1.55
1990-01-11,9.523,321.009,0.49,0.06,0.0,-0.91
1990-01-12,9.156,322.136,0.49,0.36,0.0,1.42
1990-01-13,8.264,323.009,0.49,0.24,0.0,2.09
1990-01-14,8.191,323.723,0.49,0.09,0.0,0.97
1990-01-15,8.74,324.404,0.49,0.16,0.0,0.88
1990-01-16,9.474,324.747,0.49,0.14,0.0,0.81
1990-01-17,8.872,324.916,0.49,0.17,0.0,1.28
1990-01-18,8.374,324.997,0.49,0.17,0.0,0.64
1990-01-19,7.595,325.01,0.49,0.05,0.04,-1.16
1990-01-20,6.609,325.199,0.49,0.34,0.0,0.58
1990-01-21,6.587,325.477,0.49,0.54,0.0,2.65
1990-01-22,6.226,325.833,0.49,0.38,0.0,1.96
1990-01-23,4.926,326.159,0.49,0.42,0.0,2.2
1990-01-24,4.629,326.159,0.49,0.42,0.06,3.21
1990-01-25,4.629,326.174,0.49,0.16,0.95,3.69
1990-01-26,4.64,326.352,0.49,0.22,0.69,5.45
1990-01-27,4.749,326.533,0.5,0.41,2.1,3.71
1990-01-28,4.729,326.717,0.49,0.3,23.7,2.86
1990-01-29,5.443,326.986,0.49,0.32,1.33,-1.92
1990-01-30,5.503,327.249,0.49,0.39,4.1,0.99
1990-01-31,7.241,327.414,0.5,0.4,0.15,3.02
1990-02-01,23.318,327.451,0.49,0.27,11.61,0.16
1990-02-02,26.949,327.877,0.49,0.34,0.46,2.2
