date,level,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,0.32,,,
1990-01-02,,,0.34,0.26,9.84,9.08
1990-01-03,,,0.34,0.05,11.89,10.02
1990-01-04,,,0.3,0.38,10.41,4.83
1990-01-05,,,0.29,0.13,0.2,6.49
1990-01-06,,,0.29,0.25,0.01,9.27
1990-01-07,,,0.29,0.14,0.0,9.32
1990-01-08,,,0.28,0.13,0.0,8.95
1990-01-09,,,0.28,0.72,0.0,9.11
1990-01-10,,,0.28,0.2,0.06,7.57
1990-01-11,,,0.28,0.23,0.48,6.99
1990-01-12,,,0.28,0.16,0.38,6.23
1990-01-13,,,0.28,0.41,0.2,7.28
1990-01-14,,,0.28,0.38,0.02,8.08
1990-01-15,,,0.28,0.44,0.0,7.45
1990-01-16,,,0.27,0.33,0.3,8.16
1990-01-17,,,0.27,0.49,0.32,8.97
1990-01-18,,,0.27,0.08,0.0,7.0
1990-01-19,,,0.27,0.5,0.0,7.15
1990-01-20,,,0.27,0.81,0.0,7.51
1990-01-21,,,0.27,0.55,0.0,7.54
1990-01-22,,,0.26,0.45,0.0,6.85
1990-01-23,,,0.26,0.95,0.0,6.1
1990-01-24,,,0.26,0.88,0.0,7.25
1990-01-25,,,0.26,0.98,0.0,10.03
1990-01-26,,,0.26,0.48,0.0,10.33
1990-01-27,,,0.28,0.45,0.31,10.24
1990-01-28,,,0.29,0.7,24.58,10.68
1990-01-29,,,0.27,0.41,4.4,5.65
1990-01-30,,,0.26,0.85,3.26,8.02
1990-01-31,,,0.27,0.47,0.08,9.24
1990-02-01,,,0.26,0.47,4.39,7.42
1990-02-02,,,0.26,0.73,0.18,8.48
1990-02-03,,,0.26,0.58,0.0,8.64
1990-02-04,,,0.25,0.8,0.0,9.25
1990-02-05,,,0.25,0.73,0.0,11.81
1990-02-06,,,0.25,0.76,0.0,11.2
1990-02-07,,,0.25,0.7,0.0,11.31
1990-02-08,,,0.25,0.82,0.0,12.69
1990-02-09,,,0.25,0.96,0.0,11.25
1990-02-10,,,0.25,1.13,0.0,11.36
1990-02-11,,,0.25,0.91,0.0,10.87
1990-02-12,,,0.24,1.03,0.0,9.1
1990-02-13,,,0.24,1.71,0.0,10.5
1990-02-14,,,0.24,1.19,0.0,10.32
1990-02-15,,,0.24,2.08,0.0,11.78
1990-02-16,,,0.24,1.94,0.0,11.56
1990-02-17,,,0.24,1.45,0.0,10.98
1990-02-18,,,0.24,0.96,0.0,9.43
1990-02-19,,,0.24,0.89,0.0,9.67
1990-02-20,,,0.24,2.01,0.0,12.91
1990-02-21,,,0.24,1.4,0.0,12.73
1990-02-22,,,0.24,1.5,0.0,12.94
1990-02-23,,,0.23,1.78,0.0,12.58
1990-02-24,,,0.23,1.9,0.0,14.0
1990-02-25,,,0.24,1.76,0.0,12.71
1990-02-26,,,0.23,1.64,0.0,11.25
1990-02-27,,,0.23,2.42,0.0,12.36
1990-02-28,,,0.23,2.41,0.0,14.29
1990-03-01,,,0.23,1.62,0.0,13.55
1990-03-02,,,0.23,1.36,0.0,11.49
1990-03-03,,,0.23,1.34,2.21,11.76
1990-03-04,,,0.23,1.75,1.74,9.78
1990-03-05,,,0.23,2.81,0.33,12.17
1990-03-06,,,0.23,1.79,0.0,10.97
1990-03-07,,,0.23,2.03,0.45,12.78
1990-03-08,,,0.24,1.78,0.0,13.88
1990-03-09,,,0.24,1.0,0.82,11.05
1990-03-10,,,0.23,1.39,0.97,12.4
1990-03-11,,,0.23,1.96,0.02,12.79
1990-03-12,,,0.23,1.78,0.0,12.55
1990-03-13,,,0.23,1.98,0.18,13.87
1990-03-14,,,0.23,1.99,0.0,12.88
1990-03-15,,,0.23,2.84,0.0,13.86
1990-03-16,,,0.22,2.13,0.0,13.15
1990-03-17,,,0.23,3.24,0.0,14.01
1990-03-18,,,0.23,2.98,0.0,14.66
1990-03-19,,,0.23,2.38,0.0,13.54
1990-03-20,,,0.23,2.38,0.0,13.53
1990-03-21,,,0.22,2.51,0.0,12.92
1990-03-22,,,0.22,4.2,0.0,14.05
1990-03-23,,,0.23,3.53,0.0,13.71
1990-03-24,,,0.23,2.06,0.44,12.19
1990-03-25,,,0.22,2.36,0.0,11.71
1990-03-26,,,0.22,3.61,0.0,12.95
1990-03-27,,,0.22,3.77,0.0,13.22
