date,volume,level,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,37.49,294.48,0.36,,,
1990-01-02,37.58,294.58,0.33,0.26,0.02,3.07
1990-01-03,36.99,294.12,0.34,0.18,0.0,2.87
1990-01-04,37.48,294.46,0.34,0.35,11.38,5.92
1990-01-05,36.99,294.12,0.33,0.09,0.26,2.01
1990-01-06,36.86,294.04,0.33,0.17,0.0,1.08
1990-01-07,36.69,293.94,0.34,0.29,0.0,3.54
1990-01-08,36.69,293.94,0.33,0.27,6.23,4.04
1990-01-09,37.34,294.34,0.33,0.16,0.78,1.79
1990-01-10,38.5,295.06,0.33,0.16,0.71,2.04
1990-01-11,39.0,295.38,0.33,0.62,1.08,4.01
1990-01-12,38.59,295.12,0.33,0.21,0.0,4.4
1990-01-13,37.98,294.74,0.33,0.24,0.13,2.57
1990-01-14,37.56,294.56,0.33,0.15,0.0,1.72
1990-01-15,37.06,294.16,0.33,0.21,0.04,2.5
1990-01-16,36.73,293.96,0.33,0.24,0.0,1.88
1990-01-17,36.73,293.96,0.33,0.4,0.0,1.86
1990-01-18,36.83,294.02,0.33,0.3,0.0,1.21
1990-01-19,37.02,294.14,0.33,0.19,0.05,1.32
1990-01-20,37.31,294.32,0.33,0.21,0.0,0.87
1990-01-21,37.28,294.3,0.33,0.42,0.0,1.64
1990-01-22,37.12,294.2,0.33,0.85,0.0,2.71
1990-01-23,37.18,294.24,0.33,0.58,0.0,0.52
1990-01-24,37.54,294.54,0.33,0.56,0.0,4.1
1990-01-25,37.58,294.58,0.33,0.25,0.0,5.04
1990-01-26,37.66,294.62,0.33,0.59,0.15,8.61
1990-01-27,37.46,294.44,0.33,0.59,0.13,5.52
1990-01-28,38.69,295.18,0.33,0.33,0.0,7.03
1990-01-29,37.54,294.54,0.33,0.47,5.85,4.77
1990-01-30,36.96,294.1,0.33,0.6,0.11,4.82
1990-01-31,36.51,293.84,0.33,0.51,0.0,4.96
1990-02-01,36.22,293.68,0.33,0.76,1.43,6.66
1990-02-02,36.26,293.7,0.33,0.16,0.02,4.36
1990-02-03,36.26,293.7,0.33,0.3,0.0,5.32
1990-02-04,36.19,293.66,0.33,0.37,0.0,6.4
1990-02-05,37.44,294.4,0.33,0.27,0.0,4.14
1990-02-06,37.45,294.42,0.33,0.53,0.0,7.93
1990-02-07,37.25,294.28,0.33,0.43,0.03,5.69
1990-02-08,36.8,294.0,0.33,0.43,0.0,6.46
1990-02-09,37.18,294.24,0.33,0.49,0.01,8.44
1990-02-10,37.45,294.42,0.33,0.24,0.0,5.98
1990-02-11,37.06,294.16,0.33,0.33,0.5,6.45
1990-02-12,36.33,293.74,0.33,0.7,1.97,5.94
1990-02-13,35.97,293.54,0.33,1.0,9.76,5.5
1990-02-14,35.79,293.44,0.33,0.89,0.57,8.21
1990-02-15,35.11,293.06,0.33,1.97,0.0,10.31
1990-02-16,37.25,294.28,0.33,1.38,0.0,8.66
1990-02-17,37.15,294.22,0.33,0.63,0.0,7.9
1990-02-18,36.15,293.64,0.33,1.08,0.05,9.17
1990-02-19,35.36,293.2,0.33,0.76,0.04,7.55
1990-02-20,36.26,293.7,0.33,0.81,0.0,8.98
1990-02-21,36.58,293.88,0.33,0.89,0.0,9.42
1990-02-22,36.12,293.62,0.33,0.56,0.0,6.59
1990-02-23,36.08,293.6,0.33,1.3,0.0,8.06
1990-02-24,35.94,293.52,0.33,1.35,0.0,9.83
1990-02-25,35.68,293.38,0.33,0.85,0.04,9.34
1990-02-26,35.72,293.4,0.33,0.61,0.0,4.91
1990-02-27,35.36,293.2,0.33,0.79,0.0,7.37
1990-02-28,35.18,293.1,0.33,2.46,0.01,11.03
1990-03-01,35.14,293.08,0.33,1.45,0.0,10.14
